part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,6,1440,half,True,False,False,False
P1,1,E,E,,5,1440,half,True,False,False,False
P1,2,E,E,,6,1440,half,True,False,False,False
P1,2,E,E,,5,1440,half,True,False,False,False
P1,3,E,E,,6,1440,half,True,False,False,False
P1,3,E,E,,5,1440,half,True,False,False,False
P1,4,E,E,,6,1440,half,True,False,False,False
P1,4,E,E,,5,1440,half,True,False,False,False
P1,5,G,G,,5,1440,half,True,False,False,False
P1,5,E,E,,5,1440,half,True,False,False,False
P1,6,F#,F,1,5,1440,half,True,False,False,False
P1,6,D,D,,5,1440,half,True,False,False,False
P1,7,E,E,,5,480,quarter,False,False,False,False
P1,7,C#,C,1,6,480,quarter,False,False,False,False
P1,7,B,B,,5,480,quarter,False,False,False,False
P1,7,C#,C,1,5,480,quarter,False,False,False,False
P1,7,A,A,,5,480,quarter,False,False,False,False
P1,7,G#,G,1,5,480,quarter,False,False,False,False
P1,8,A,A,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,A,A,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,11,,,,,1440,whole,False,True,False,False
P1,12,,,,,1440,whole,False,True,False,False
P1,12,,,,,1440,whole,False,True,False,False
P1,13,,,,,1440,whole,False,True,False,False
P1,13,,,,,1440,whole,False,True,False,False
P1,14,,,,,1440,whole,False,True,False,False
P1,14,,,,,1440,whole,False,True,False,False
P1,15,,,,,1440,whole,False,True,False,False
P1,15,,,,,1440,whole,False,True,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,G#,G,1,5,240,eighth,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,B,B,,5,240,eighth,False,False,False,False
P1,16,G#,G,1,5,240,eighth,False,False,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,G#,G,1,5,240,eighth,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,B,B,,5,240,eighth,False,False,False,False
P1,16,G#,G,1,5,240,eighth,False,False,False,False
P1,17,E,E,,6,480,quarter,False,False,False,False
P1,17,B,B,,5,480,quarter,False,False,False,False
P1,17,G#,G,1,5,480,quarter,False,False,False,False
P1,17,E,E,,5,1440,half,True,False,False,False
P1,18,F#,F,1,5,1440,half,True,False,False,False
P1,18,B,B,,5,1440,half,True,False,False,False
P1,19,E,E,,5,1440,half,True,False,False,False
P1,19,G#,G,1,5,1440,half,True,False,False,False
P1,20,D#,D,1,5,960,half,False,False,False,False
P1,20,D#,D,1,6,480,quarter,False,False,False,False
P1,20,G#,G,1,5,1440,half,True,False,False,False
P1,21,C#,C,1,6,1440,half,True,False,False,False
P1,21,A,A,,5,1440,half,True,False,False,False
P1,22,B,B,,5,1440,half,True,False,False,False
P1,22,E,E,,5,1440,half,True,False,False,False
P1,23,C#,C,1,6,1440,half,True,False,False,False
P1,23,A#,A,1,5,1440,half,True,False,False,False
P1,24,C#,C,1,6,1440,half,True,False,False,False
P1,24,A#,A,1,5,1440,half,True,False,False,False
P1,25,C#,C,1,6,480,quarter,False,False,False,False
P1,25,E,E,,6,960,half,False,False,False,False
P1,25,A#,A,1,5,480,quarter,False,False,False,False
P1,25,C#,C,1,6,960,half,False,False,False,False
P1,26,D#,D,1,6,480,quarter,False,False,False,False
P1,26,B,B,,5,480,quarter,False,False,False,False
P1,26,,,,,480,quarter,False,True,False,False
P1,26,B,B,,5,480,quarter,False,False,False,False
P1,26,D#,D,1,5,480,quarter,False,False,False,False
P1,26,,,,,480,quarter,False,True,False,False
P1,27,,,,,1440,whole,False,True,False,False
P1,27,,,,,1440,whole,False,True,False,False
P1,28,,,,,1440,whole,False,True,False,False
P1,28,,,,,1440,whole,False,True,False,False
P1,29,,,,,1440,whole,False,True,False,False
P1,29,,,,,1440,whole,False,True,False,False
P1,30,,,,,1440,whole,False,True,False,False
P1,30,,,,,1440,whole,False,True,False,False
P1,31,B,B,,5,1440,half,True,False,False,False
P1,31,B,B,,4,1440,half,True,False,False,False
P1,32,B,B,,5,1440,half,True,False,False,False
P1,32,B,B,,4,1440,half,True,False,False,False
P1,33,B,B,,5,1440,half,True,False,False,False
P1,33,B,B,,4,1440,half,True,False,False,False
P1,34,B,B,,5,1440,half,True,False,False,False
P1,34,B,B,,4,1440,half,True,False,False,False
P1,35,,,,,1440,whole,False,True,False,False
P1,35,,,,,1440,whole,False,True,False,False
P1,36,,,,,1440,whole,False,True,False,False
P1,36,,,,,1440,whole,False,True,False,False
P1,37,,,,,1440,whole,False,True,False,False
P1,37,,,,,1440,whole,False,True,False,False
P1,38,,,,,1440,whole,False,True,False,False
P1,38,,,,,1440,whole,False,True,False,False
P1,39,,,,,1440,whole,False,True,False,False
