part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,,,,,240,eighth,False,True,False,False
P1,1,,,,,960,half,False,True,False,False
P1,1,A,A,,5,480,quarter,False,False,False,False
P1,1,B,B,,5,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F#,F,1,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,480,quarter,False,False,False,False
P1,2,F#,F,1,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,,,,,960,half,False,True,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,G,G,,5,480,quarter,False,False,False,False
P1,4,F#,F,1,5,480,quarter,False,False,False,False
P1,4,B,B,,5,480,quarter,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,,,,,1920,whole,False,True,False,False
P1,6,,,,,1920,whole,False,True,False,False
P1,7,,,,,1920,whole,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,8,,,,,80,16th,False,True,False,False
P1,8,F#,F,1,5,80,16th,False,False,False,False
P1,8,G,G,,5,80,16th,False,False,False,False
P1,8,A,A,,5,80,16th,False,False,False,False
P1,8,G,G,,5,80,16th,False,False,False,False
P1,8,F#,F,1,5,80,16th,False,False,False,False
P1,8,E,E,,5,80,16th,False,False,False,False
P1,8,G,G,,5,80,16th,False,False,False,False
P1,8,A,A,,5,80,16th,False,False,False,False
P1,8,B,B,,5,80,16th,False,False,False,False
P1,8,A,A,,5,80,16th,False,False,False,False
P1,8,G,G,,5,80,16th,False,False,False,False
P1,9,F#,F,1,5,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,,,,,960,half,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
