part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,5,,eighth,False,False,True,False
P1,0,C,C,,6,720,quarter,True,False,False,False
P1,0,,,,,480,quarter,False,True,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,5,,eighth,False,False,True,False
P1,1,A,A,,5,240,eighth,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,F,F,,5,240,eighth,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,1,F,F,,3,720,quarter,True,False,False,False
P1,1,A,A,,3,720,quarter,True,False,False,False
P1,1,C,C,,4,720,quarter,True,False,False,False
P1,1,G,G,,3,720,quarter,True,False,False,False
P1,1,Bb,B,-1,3,720,quarter,True,False,False,False
P1,1,E,E,,4,720,quarter,True,False,False,False
P1,2,G,G,,5,,eighth,False,False,True,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,F,F,,5,240,eighth,False,False,False,False
P1,2,G,G,,5,240,eighth,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,F,F,,3,240,eighth,False,False,False,False
P1,2,F,F,,4,240,eighth,False,False,False,False
P1,3,A,A,,5,,eighth,False,False,True,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,Bb,B,-1,5,240,eighth,False,False,False,False
P1,3,Bb,B,-1,3,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Bb,B,-1,3,240,eighth,False,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,3,G,G,,3,240,eighth,False,False,False,False
