part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,F,F,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,A,A,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,960,half,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,480,quarter,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,C,C,,6,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,D,D,,5,960,half,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,D,D,,5,960,half,False,False,False,False
P1,9,E,E,,5,960,half,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,10,F#,F,1,5,240,eighth,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,E,E,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,480,quarter,False,False,False,False
P1,11,E,E,,5,480,quarter,False,False,False,False
P1,11,F#,F,1,5,480,quarter,False,False,False,False
P1,11,F#,F,1,5,480,quarter,False,False,False,False
P1,12,G,G,,5,1440,half,True,False,False,False
P1,12,F#,F,1,5,240,eighth,False,False,False,False
P1,12,F,F,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,480,quarter,False,False,False,False
