part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,960,half,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,3,D,D,,5,960,half,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,5,G,G,,5,960,half,False,False,False,False
P1,5,B,B,,4,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,B,B,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,960,half,False,False,False,False
P1,6,A,A,,5,240,eighth,False,False,False,False
P1,6,F#,F,1,5,240,eighth,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,7,B,B,,4,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,480,quarter,False,False,False,False
P1,7,F#,F,1,5,480,quarter,False,False,False,False
P1,8,F#,F,1,5,960,half,False,False,False,False
P1,8,G,G,,5,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,9,G,G,,5,960,half,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,A,A,,5,240,eighth,False,False,False,False
P1,10,F,F,,5,960,half,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,E,E,,5,240,eighth,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,F,F,,5,480,quarter,False,False,False,False
P1,12,E,E,,5,960,half,False,False,False,False
P1,12,D,D,,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,F,F,,5,960,half,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,14,G,G,,5,960,half,False,False,False,False
P1,14,F,F,,5,240,eighth,False,False,False,False
P1,14,E,E,,5,240,eighth,False,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,15,A,A,,4,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,F,F,,5,240,eighth,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,15,B,B,,4,480,quarter,False,False,False,False
P1,16,B,B,,4,960,half,False,False,False,False
P1,16,C,C,,5,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P2,1,E,E,,4,960,half,False,False,False,False
P2,1,G,G,,4,960,half,False,False,False,False
P2,2,E,E,,4,240,eighth,False,False,False,False
P2,2,C,C,,4,240,eighth,False,False,False,False
P2,2,E,E,,4,240,eighth,False,False,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,2,E,E,,4,240,eighth,False,False,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,2,E,E,,4,240,eighth,False,False,False,False
P2,2,C,C,,4,240,eighth,False,False,False,False
P2,3,G,G,,4,960,half,False,False,False,False
P2,3,C,C,,5,240,eighth,False,False,False,False
P2,3,B,B,,4,240,eighth,False,False,False,False
P2,3,C,C,,5,240,eighth,False,False,False,False
P2,3,D,D,,5,240,eighth,False,False,False,False
P2,4,B,B,,4,240,eighth,False,False,False,False
P2,4,G,G,,4,240,eighth,False,False,False,False
P2,4,B,B,,4,240,eighth,False,False,False,False
P2,4,D,D,,5,240,eighth,False,False,False,False
P2,4,B,B,,4,240,eighth,False,False,False,False
P2,4,D,D,,5,240,eighth,False,False,False,False
P2,4,B,B,,4,240,eighth,False,False,False,False
P2,4,G,G,,4,240,eighth,False,False,False,False
P2,5,E,E,,4,480,quarter,False,False,False,False
P2,5,,,,,480,quarter,False,True,False,False
P2,5,G,G,,4,960,half,False,False,False,False
P2,6,A,A,,4,960,half,False,False,False,False
P2,6,F#,F,1,4,960,half,False,False,False,False
P2,7,G,G,,4,480,quarter,False,False,False,False
P2,7,C,C,,4,480,quarter,False,False,False,False
P2,7,D,D,,4,480,quarter,False,False,False,False
P2,7,D,D,,4,480,quarter,False,False,False,False
P2,8,D,D,,4,960,half,False,False,False,False
P2,8,G,G,,4,480,quarter,False,False,False,False
P2,8,,,,,480,quarter,False,True,False,False
P2,9,,,,,480,quarter,False,True,False,False
P2,9,E,E,,5,480,quarter,False,False,False,False
P2,9,C#,C,1,5,480,quarter,False,False,False,False
P2,9,A,A,,4,480,quarter,False,False,False,False
P2,10,,,,,480,quarter,False,True,False,False
P2,10,D,D,,5,480,quarter,False,False,False,False
P2,10,B,B,,4,480,quarter,False,False,False,False
P2,10,G,G,,4,480,quarter,False,False,False,False
P2,11,C,C,,5,480,quarter,False,False,False,False
P2,11,B,B,,4,480,quarter,False,False,False,False
P2,11,A,A,,4,480,quarter,False,False,False,False
P2,11,D,D,,4,480,quarter,False,False,False,False
P2,12,C,C,,4,240,eighth,False,False,False,False
P2,12,C,C,,4,240,eighth,False,False,False,False
P2,12,E,E,,4,240,eighth,False,False,False,False
P2,12,C,C,,4,240,eighth,False,False,False,False
P2,12,G,G,,4,480,quarter,False,False,False,False
P2,12,,,,,480,quarter,False,True,False,False
P2,13,,,,,480,quarter,False,True,False,False
P2,13,D,D,,5,480,quarter,False,False,False,False
P2,13,B,B,,4,480,quarter,False,False,False,False
P2,13,G,G,,4,480,quarter,False,False,False,False
P2,14,,,,,480,quarter,False,True,False,False
P2,14,E,E,,4,480,quarter,False,False,False,False
P2,14,C,C,,5,480,quarter,False,False,False,False
P2,14,A,A,,4,480,quarter,False,False,False,False
P2,15,,,,,480,quarter,False,True,False,False
P2,15,,,,,240,eighth,False,True,False,False
P2,15,F#,F,1,4,240,eighth,False,False,False,False
P2,15,G,G,,4,480,quarter,False,False,False,False
P2,15,G,G,,3,480,quarter,False,False,False,False
P2,16,G,G,,3,960,half,False,False,False,False
P2,16,C,C,,4,480,quarter,False,False,False,False
P2,16,,,,,480,quarter,False,True,False,False
