part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,5,240,eighth,False,False,False,False
P1,1,G,G,,5,240,eighth,False,False,False,False
P1,1,E,E,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,2,C,C,,5,720,quarter,True,False,False,False
P1,2,C#,C,1,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,C#,C,1,5,240,eighth,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,480,quarter,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,G,G,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,C,C,,6,480,quarter,False,False,False,False
P1,6,B,B,,5,240,eighth,False,False,False,False
P1,7,B,B,,5,,eighth,False,False,True,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,G,G,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,240,eighth,False,False,False,False
P1,7,B,B,,5,240,eighth,False,False,False,False
P1,8,G,G,,5,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,G,G,,5,480,quarter,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,11,A,A,,5,240,eighth,False,False,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,11,E,E,,5,240,eighth,False,False,False,False
P1,12,F,F,,5,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,D,D,,5,120,16th,False,False,False,False
P1,13,E,E,,5,120,16th,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,14,C#,C,1,5,240,eighth,False,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
P1,14,G,G,,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,16,F,F,,5,240,eighth,False,False,False,False
P1,16,,,,,240,eighth,False,True,False,False
P1,16,D,D,,5,240,eighth,False,False,False,False
P1,16,D,D,,5,240,eighth,False,False,False,False
P1,17,E,E,,5,240,eighth,False,False,False,False
P1,17,E,E,,5,240,eighth,False,False,False,False
P1,17,D,D,,5,240,eighth,False,False,False,False
P1,17,D,D,,5,240,eighth,False,False,False,False
P1,18,E,E,,5,240,eighth,False,False,False,False
P1,18,E,E,,5,240,eighth,False,False,False,False
P1,18,F#,F,1,5,240,eighth,False,False,False,False
P1,18,F#,F,1,5,240,eighth,False,False,False,False
P1,19,G,G,,5,120,16th,False,False,False,False
P1,19,A,A,,5,120,16th,False,False,False,False
P1,19,G,G,,5,120,16th,False,False,False,False
P1,19,F#,F,1,5,120,16th,False,False,False,False
P1,19,G,G,,5,120,16th,False,False,False,False
P1,19,A,A,,5,120,16th,False,False,False,False
P1,19,B,B,,5,120,16th,False,False,False,False
P1,19,G,G,,5,120,16th,False,False,False,False
P1,20,F#,F,1,5,120,16th,False,False,False,False
P1,20,G,G,,5,120,16th,False,False,False,False
P1,20,F#,F,1,5,120,16th,False,False,False,False
P1,20,E,E,,5,120,16th,False,False,False,False
P1,20,F#,F,1,5,120,16th,False,False,False,False
P1,20,G,G,,5,120,16th,False,False,False,False
P1,20,A,A,,5,120,16th,False,False,False,False
P1,20,F#,F,1,5,120,16th,False,False,False,False
P1,21,G,G,,5,120,16th,False,False,False,False
P1,21,A,A,,5,120,16th,False,False,False,False
P1,21,G,G,,5,120,16th,False,False,False,False
P1,21,F#,F,1,5,120,16th,False,False,False,False
P1,21,G,G,,5,120,16th,False,False,False,False
P1,21,A,A,,5,120,16th,False,False,False,False
P1,21,B,B,,5,120,16th,False,False,False,False
P1,21,G,G,,5,120,16th,False,False,False,False
P1,22,F#,F,1,5,120,16th,False,False,False,False
P1,22,G,G,,5,120,16th,False,False,False,False
P1,22,F#,F,1,5,120,16th,False,False,False,False
P1,22,E,E,,5,120,16th,False,False,False,False
P1,22,F#,F,1,5,120,16th,False,False,False,False
P1,22,G,G,,5,120,16th,False,False,False,False
P1,22,A,A,,5,120,16th,False,False,False,False
P1,22,F#,F,1,5,120,16th,False,False,False,False
P1,23,G,G,,5,480,quarter,False,False,False,False
P1,23,,,,,240,eighth,False,True,False,False
P1,23,G,G,,5,240,eighth,False,False,False,False
P1,24,G,G,,5,240,eighth,False,False,False,False
P1,24,E,E,,5,240,eighth,False,False,False,False
P1,24,C,C,,5,240,eighth,False,False,False,False
P1,24,C,C,,5,240,eighth,False,False,False,False
P1,25,C,C,,5,720,quarter,True,False,False,False
P1,25,C#,C,1,5,240,eighth,False,False,False,False
P1,26,E,E,,5,,eighth,False,False,True,False
P1,26,D,D,,5,240,eighth,False,False,False,False
P1,26,C#,C,1,5,240,eighth,False,False,False,False
P1,26,D,D,,5,240,eighth,False,False,False,False
P1,26,G,G,,5,240,eighth,False,False,False,False
P1,27,F,F,,5,480,quarter,False,False,False,False
P1,27,E,E,,5,240,eighth,False,False,False,False
P1,27,G,G,,5,240,eighth,False,False,False,False
P1,28,G,G,,5,240,eighth,False,False,False,False
P1,28,E,E,,5,240,eighth,False,False,False,False
P1,28,C,C,,5,240,eighth,False,False,False,False
P1,28,C,C,,5,240,eighth,False,False,False,False
P1,29,C,C,,5,720,quarter,True,False,False,False
P1,29,C#,C,1,5,240,eighth,False,False,False,False
P1,30,E,E,,5,,eighth,False,False,True,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,30,C,C,,5,240,eighth,False,False,False,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,30,E,E,,5,240,eighth,False,False,False,False
P1,31,C,C,,5,480,quarter,False,False,False,False
P1,31,,,,,240,eighth,False,True,False,False
P1,31,E,E,,5,240,eighth,False,False,False,False
P1,32,G,G,,5,,eighth,False,False,True,False
P1,32,F,F,,5,240,eighth,False,False,False,False
P1,32,E,E,,5,240,eighth,False,False,False,False
P1,32,F,F,,5,240,eighth,False,False,False,False
P1,32,G,G,,5,240,eighth,False,False,False,False
P1,33,F,F,,5,,eighth,False,False,True,False
P1,33,E,E,,5,240,eighth,False,False,False,False
P1,33,D,D,,5,240,eighth,False,False,False,False
P1,33,E,E,,5,240,eighth,False,False,False,False
P1,33,F,F,,5,240,eighth,False,False,False,False
P1,34,E,E,,5,,eighth,False,False,True,False
P1,34,D,D,,5,240,eighth,False,False,False,False
P1,34,C,C,,5,240,eighth,False,False,False,False
P1,34,D,D,,5,240,eighth,False,False,False,False
P1,34,G,G,,5,240,eighth,False,False,False,False
P1,35,E,E,,5,480,quarter,False,False,False,False
P1,35,,,,,240,eighth,False,True,False,False
P1,35,E,E,,5,240,eighth,False,False,False,False
P1,36,G,G,,5,,eighth,False,False,True,False
P1,36,F,F,,5,240,eighth,False,False,False,False
P1,36,E,E,,5,240,eighth,False,False,False,False
P1,36,F,F,,5,240,eighth,False,False,False,False
P1,36,G,G,,5,240,eighth,False,False,False,False
P1,37,F,F,,5,,eighth,False,False,True,False
P1,37,E,E,,5,240,eighth,False,False,False,False
P1,37,D,D,,5,240,eighth,False,False,False,False
P1,37,E,E,,5,240,eighth,False,False,False,False
P1,37,F,F,,5,240,eighth,False,False,False,False
P1,38,E,E,,5,,eighth,False,False,True,False
P1,38,D,D,,5,240,eighth,False,False,False,False
P1,38,C,C,,5,240,eighth,False,False,False,False
P1,38,D,D,,5,240,eighth,False,False,False,False
P1,38,E,E,,5,240,eighth,False,False,False,False
P1,39,C,C,,5,480,quarter,False,False,False,False
P1,39,,,,,480,quarter,False,True,False,False
P1,40,D,D,,5,480,quarter,False,False,False,False
P1,40,D,D,,5,480,quarter,False,False,False,False
P1,41,E,E,,5,480,quarter,False,False,False,False
P1,41,,,,,480,quarter,False,True,False,False
P1,42,D,D,,5,960,half,False,False,False,False
P1,43,C,C,,5,480,quarter,False,False,False,False
P1,44,C,C,,5,480,quarter,False,False,False,False
P1,44,,,,,480,quarter,False,True,False,False
P2,0,,,,,240,eighth,False,True,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,1,G,G,,4,240,eighth,False,False,False,False
P2,1,E,E,,4,240,eighth,False,False,False,False
P2,1,G,G,,4,240,eighth,False,False,False,False
P2,2,C,C,,4,240,eighth,False,False,False,False
P2,2,G,G,,4,240,eighth,False,False,False,False
P2,2,E,E,,4,240,eighth,False,False,False,False
P2,2,C,C,,4,240,eighth,False,False,False,False
P2,3,G,G,,3,240,eighth,False,False,False,False
P2,3,G,G,,4,240,eighth,False,False,False,False
P2,3,B,B,,4,240,eighth,False,False,False,False
P2,3,G,G,,4,240,eighth,False,False,False,False
P2,4,C,C,,5,240,eighth,False,False,False,False
P2,4,C,C,,4,240,eighth,False,False,False,False
P2,4,C,C,,4,240,eighth,False,False,False,False
P2,4,,,,,240,eighth,False,True,False,False
P2,5,E,E,,4,240,eighth,False,False,False,False
P2,5,G,G,,4,240,eighth,False,False,False,False
P2,5,E,E,,4,240,eighth,False,False,False,False
P2,5,G,G,,4,240,eighth,False,False,False,False
P2,6,F#,F,1,4,240,eighth,False,False,False,False
P2,6,,,,,240,eighth,False,True,False,False
P2,6,G,G,,4,240,eighth,False,False,False,False
P2,6,,,,,240,eighth,False,True,False,False
P2,7,C,C,,5,240,eighth,False,False,False,False
P2,7,,,,,240,eighth,False,True,False,False
P2,7,D,D,,5,240,eighth,False,False,False,False
P2,7,,,,,240,eighth,False,True,False,False
P2,8,G,G,,4,480,quarter,False,False,False,False
P2,8,,,,,240,eighth,False,True,False,False
P2,9,G,G,,4,480,quarter,False,False,False,False
P2,10,E,E,,5,240,eighth,False,False,False,False
P2,10,E,E,,5,240,eighth,False,False,False,False
P2,11,F,F,,5,240,eighth,False,False,False,False
P2,11,,,,,240,eighth,False,True,False,False
P2,11,C#,C,1,5,240,eighth,False,False,False,False
P2,11,C#,C,1,5,240,eighth,False,False,False,False
P2,12,D,D,,5,240,eighth,False,False,False,False
P2,12,,,,,240,eighth,False,True,False,False
P2,12,B,B,,4,240,eighth,False,False,False,False
P2,12,B,B,,4,240,eighth,False,False,False,False
P2,13,C,C,,5,240,eighth,False,False,False,False
P2,13,B,B,,4,120,16th,False,False,False,False
P2,13,C,C,,5,120,16th,False,False,False,False
P2,13,D,D,,5,240,eighth,False,False,False,False
P2,13,C,C,,5,240,eighth,False,False,False,False
P2,14,A#,A,1,4,240,eighth,False,False,False,False
