part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,480,quarter,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Eb,E,-1,5,360,eighth,True,False,False,False
P1,2,Bb,B,-1,4,120,16th,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,4,Bb,B,-1,4,,16th,False,False,True,False
P1,4,Ab,A,-1,4,360,eighth,True,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,G,G,,4,,16th,False,False,True,False
P1,4,F,F,,4,360,eighth,True,False,False,False
P1,4,Eb,E,-1,4,120,16th,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,F,F,,4,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,Eb,E,-1,5,360,eighth,True,False,False,False
P1,6,Bb,B,-1,4,120,16th,False,False,False,False
P1,6,G,G,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,Eb,E,-1,5,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,D,D,,5,,16th,False,False,True,False
P1,8,C,C,,5,360,eighth,True,False,False,False
P1,8,D,D,,5,60,32nd,False,False,False,False
P1,8,Eb,E,-1,5,60,32nd,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,D,D,,5,,32nd,False,False,True,False
P1,8,C,C,,5,120,16th,False,False,False,False
P1,8,Bb,B,-1,4,120,16th,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,9,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,C,C,,5,360,eighth,True,False,False,False
P1,10,Bb,B,-1,4,120,16th,False,False,False,False
P1,11,Ab,A,-1,4,240,eighth,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,,,,,120,16th,False,True,False,False
P1,11,Ab,A,-1,4,120,16th,False,False,False,False
P1,12,Ab,A,-1,4,,16th,False,False,True,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,F,F,,4,120,16th,False,False,False,False
P1,12,Eb,E,-1,4,120,16th,False,False,False,False
P1,12,Ab,A,-1,4,240,eighth,False,False,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,13,G,G,,4,240,eighth,False,False,False,False
P1,13,F,F,,4,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,Bb,B,-1,4,240,eighth,False,False,False,False
P1,14,Eb,E,-1,5,360,eighth,True,False,False,False
P1,14,Bb,B,-1,4,120,16th,False,False,False,False
P1,14,G,G,,4,240,eighth,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,15,F,F,,4,240,eighth,False,False,False,False
P1,15,Bb,B,-1,4,480,quarter,False,False,False,False
P1,15,Bb,B,-1,4,180,16th,True,False,False,False
P1,15,Ab,A,-1,4,60,32nd,False,False,False,False
P1,16,Ab,A,-1,4,120,16th,False,False,False,False
P1,16,C,C,,5,120,16th,False,False,False,False
P1,16,Bb,B,-1,4,60,32nd,False,False,False,False
P1,16,Ab,A,-1,4,60,32nd,False,False,False,False
P1,16,G,G,,4,60,32nd,False,False,False,False
P1,16,F,F,,4,60,32nd,False,False,False,False
P1,16,Eb,E,-1,4,240,eighth,False,False,False,False
P1,16,G,G,,4,,32nd,False,False,True,False
P1,16,F,F,,4,120,16th,False,False,False,False
P1,16,Eb,E,-1,4,120,16th,False,False,False,False
P1,17,Eb,E,-1,4,240,eighth,False,False,False,False
P1,17,,,,,240,eighth,False,True,False,False
P1,17,,,,,480,quarter,False,True,False,False
P1,18,,,,,960,whole,False,True,False,False
P1,19,,,,,960,whole,False,True,False,False
P2,1,G,G,,4,360,eighth,True,False,False,False
P2,1,Bb,B,-1,4,360,eighth,True,False,False,False
P2,1,Eb,E,-1,5,360,eighth,True,False,False,False
P2,1,G,G,,3,120,16th,False,False,False,False
P2,1,Eb,E,-1,4,120,16th,False,False,False,False
P2,1,G,G,,3,240,eighth,False,False,False,False
P2,1,Eb,E,-1,4,240,eighth,False,False,False,False
P2,1,,,,,240,eighth,False,True,False,False
P2,1,Eb,E,-1,3,360,eighth,True,False,False,False
P2,1,Eb,E,-1,4,360,eighth,True,False,False,False
