part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1440,whole,False,True,False,False
P1,2,,,,,1440,whole,False,True,False,False
P1,3,,,,,1440,whole,False,True,False,False
P1,4,,,,,1440,whole,False,True,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,6,,,,,1440,whole,False,True,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,9,,,,,1440,whole,False,True,False,False
P1,10,,,,,1440,whole,False,True,False,False
P1,11,G,G,,4,960,half,False,False,False,False
P1,11,G,G,,4,360,eighth,True,False,False,False
P1,11,G,G,,4,120,16th,False,False,False,False
P1,12,G,G,,4,960,half,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,G,G,,4,960,half,False,False,False,False
P1,13,G,G,,4,360,eighth,True,False,False,False
P1,13,G,G,,4,120,16th,False,False,False,False
P1,14,G,G,,4,960,half,False,False,False,False
P1,14,G,G,,4,480,quarter,False,False,False,False
P1,15,Bb,B,-1,4,1440,half,True,False,False,False
P1,16,Bb,B,-1,4,480,quarter,False,False,False,False
P1,16,Ab,A,-1,4,480,quarter,False,False,False,False
P1,16,F,F,,4,480,quarter,False,False,False,False
P1,17,Eb,E,-1,4,1440,half,True,False,False,False
P1,18,D,D,,4,480,quarter,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,19,,,,,1440,whole,False,True,False,False
P1,20,,,,,1440,whole,False,True,False,False
P1,21,,,,,1440,whole,False,True,False,False
P1,22,,,,,1440,whole,False,True,False,False
P1,23,G,G,,4,480,quarter,False,False,False,False
P1,23,C,C,,5,480,quarter,False,False,False,False
P1,23,Bb,B,-1,4,480,quarter,False,False,False,False
P1,24,Bb,B,-1,4,480,quarter,False,False,False,False
P1,24,G,G,,4,480,quarter,False,False,False,False
P1,24,Bb,B,-1,4,480,quarter,False,False,False,False
P1,25,Bb,B,-1,4,480,quarter,False,False,False,False
P1,25,Ab,A,-1,4,480,quarter,False,False,False,False
P1,25,C,C,,5,480,quarter,False,False,False,False
P1,26,C,C,,5,480,quarter,False,False,False,False
