part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,Bb,B,-1,4,720,quarter,True,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,Bb,B,-1,4,960,half,False,False,False,False
P1,2,Bb,B,-1,4,480,quarter,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,480,quarter,False,False,False,False
P1,3,D,D,,5,960,half,False,False,False,False
P1,3,D,D,,5,960,half,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,G,G,,5,960,half,False,False,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,480,quarter,False,False,False,False
P1,5,C,C,,5,480,quarter,False,False,False,False
P1,6,Bb,B,-1,4,960,half,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,C,C,,5,480,quarter,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,8,Bb,B,-1,4,480,quarter,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,9,D,D,,5,1440,half,True,False,False,False
P1,9,C,C,,5,480,quarter,False,False,False,False
P1,10,B,B,,4,720,quarter,True,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,B,B,,4,960,half,False,False,False,False
P1,11,B,B,,4,480,quarter,False,False,False,False
P1,11,B,B,,4,960,half,False,False,False,False
P1,11,B,B,,4,480,quarter,False,False,False,False
P1,12,C,C,,5,960,half,False,False,False,False
P1,12,C,C,,5,960,half,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,C,C,,5,960,half,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,14,C,C,,5,960,half,False,False,False,False
P1,14,D,D,,5,960,half,False,False,False,False
P1,15,Eb,E,-1,5,1920,whole,False,False,False,False
P1,16,D,D,,5,960,half,False,False,False,False
P1,16,,,,,960,half,False,True,False,False
P1,17,,,,,1920,whole,False,True,False,False
P1,18,,,,,1920,whole,False,True,False,False
P1,19,,,,,1920,whole,False,True,False,False
P1,20,G,G,,4,720,quarter,True,False,False,False
P1,20,G,G,,4,240,eighth,False,False,False,False
P1,20,G,G,,4,480,quarter,False,False,False,False
P1,20,G,G,,4,480,quarter,False,False,False,False
P1,21,Ab,A,-1,4,1920,whole,False,False,False,False
P1,22,Ab,A,-1,4,720,quarter,True,False,False,False
P1,22,Ab,A,-1,4,240,eighth,False,False,False,False
P1,22,C,C,,5,480,quarter,False,False,False,False
P1,22,Bb,B,-1,4,480,quarter,False,False,False,False
P1,23,G,G,,4,960,half,False,False,False,False
P1,23,Bb,B,-1,4,960,half,False,False,False,False
P1,24,Bb,B,-1,4,480,quarter,False,False,False,False
P1,24,G,G,,4,480,quarter,False,False,False,False
P1,24,G,G,,4,480,quarter,False,False,False,False
P1,24,C,C,,5,480,quarter,False,False,False,False
P1,25,Bb,B,-1,4,960,half,False,False,False,False
P1,25,A,A,,4,960,half,False,False,False,False
P1,26,,,,,960,half,False,True,False,False
P1,26,,,,,480,quarter,False,True,False,False
P1,26,F,F,,4,480,quarter,False,False,False,False
P1,27,Bb,B,-1,4,720,quarter,True,False,False,False
P1,27,Bb,B,-1,4,240,eighth,False,False,False,False
P1,27,Bb,B,-1,4,960,half,False,False,False,False
P1,28,Bb,B,-1,4,480,quarter,False,False,False,False
P1,28,C,C,,5,960,half,False,False,False,False
P1,28,D,D,,5,480,quarter,False,False,False,False
P1,29,D,D,,5,480,quarter,False,False,False,False
P1,29,D,D,,5,240,eighth,False,False,False,False
P1,29,D,D,,5,240,eighth,False,False,False,False
P1,29,D,D,,5,960,half,False,False,False,False
P1,30,D,D,,5,480,quarter,False,False,False,False
P1,30,,,,,240,eighth,False,True,False,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,30,G,G,,5,960,half,False,False,False,False
P1,31,G,G,,5,480,quarter,False,False,False,False
P1,31,Eb,E,-1,5,480,quarter,False,False,False,False
P1,31,D,D,,5,480,quarter,False,False,False,False
P1,31,C,C,,5,480,quarter,False,False,False,False
P1,32,Bb,B,-1,4,720,quarter,True,False,False,False
P1,32,Bb,B,-1,4,240,eighth,False,False,False,False
P1,32,A,A,,4,480,quarter,False,False,False,False
P1,32,,,,,480,quarter,False,True,False,False
P1,33,F,F,,4,960,half,False,False,False,False
P1,33,F,F,,4,960,half,False,False,False,False
P1,34,F,F,,4,720,quarter,True,False,False,False
P1,34,F,F,,4,240,eighth,False,False,False,False
P1,34,F,F,,4,960,half,False,False,False,False
P1,35,F,F,,4,960,half,False,False,False,False
P1,35,F,F,,4,960,half,False,False,False,False
P1,36,F,F,,4,720,quarter,True,False,False,False
P1,36,Gb,G,-1,4,240,eighth,False,False,False,False
P1,36,F,F,,4,960,half,False,False,False,False
P1,37,F,F,,4,960,half,False,False,False,False
P1,37,F,F,,4,960,half,False,False,False,False
P1,38,F,F,,4,960,half,False,False,False,False
P1,38,E,E,,4,960,half,False,False,False,False
P1,39,F,F,,4,960,half,False,False,False,False
P1,39,F,F,,4,960,half,False,False,False,False
P1,40,F,F,,4,720,quarter,True,False,False,False
P1,40,F,F,,4,240,eighth,False,False,False,False
P1,40,F,F,,4,960,half,False,False,False,False
P1,41,F,F,,4,960,half,False,False,False,False
P1,41,F,F,,4,960,half,False,False,False,False
P1,42,F,F,,4,720,quarter,True,False,False,False
P1,42,G,G,,4,240,eighth,False,False,False,False
P1,42,F,F,,4,960,half,False,False,False,False
P1,43,G,G,,4,960,half,False,False,False,False
P1,43,F,F,,4,960,half,False,False,False,False
P1,44,F,F,,4,960,half,False,False,False,False
P1,44,F,F,,4,480,quarter,False,False,False,False
P1,44,E,E,,4,480,quarter,False,False,False,False
P1,45,F,F,,4,960,half,False,False,False,False
P1,45,,,,,960,half,False,True,False,False
P1,46,,,,,960,half,False,True,False,False
P1,46,,,,,480,quarter,False,True,False,False
P1,46,C,C,,5,480,quarter,False,False,False,False
P1,47,C,C,,5,480,quarter,False,False,False,False
P1,47,Bb,B,-1,4,240,eighth,False,False,False,False
P1,47,A,A,,4,240,eighth,False,False,False,False
P1,47,Bb,B,-1,4,480,quarter,False,False,False,False
P1,47,C,C,,5,480,quarter,False,False,False,False
P1,48,D,D,,5,960,half,False,False,False,False
P1,48,D,D,,5,480,quarter,False,False,False,False
P1,48,C,C,,5,480,quarter,False,False,False,False
P1,49,B,B,,4,720,quarter,True,False,False,False
P1,49,B,B,,4,240,eighth,False,False,False,False
P1,49,B,B,,4,960,half,False,False,False,False
P1,50,B,B,,4,480,quarter,False,False,False,False
P1,50,B,B,,4,480,quarter,False,False,False,False
P1,50,B,B,,4,480,quarter,False,False,False,False
P1,50,B,B,,4,480,quarter,False,False,False,False
P1,51,C,C,,5,720,quarter,True,False,False,False
P1,51,C,C,,5,240,eighth,False,False,False,False
P1,51,C,C,,5,960,half,False,False,False,False
P1,52,C,C,,5,480,quarter,False,False,False,False
P1,52,C,C,,5,480,quarter,False,False,False,False
P1,52,C,C,,5,480,quarter,False,False,False,False
P1,52,C,C,,5,480,quarter,False,False,False,False
P1,53,C,C,,5,960,half,False,False,False,False
P1,53,D,D,,5,960,half,False,False,False,False
P1,54,Eb,E,-1,5,1440,half,True,False,False,False
P1,54,Eb,E,-1,5,480,quarter,False,False,False,False
P1,55,D,D,,5,960,half,False,False,False,False
