part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,G,G,,4,960,half,False,False,False,False
P1,3,F#,F,1,4,960,half,False,False,False,False
P1,4,G,G,,4,960,half,False,False,False,False
P1,4,C,C,,5,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,G,G,,4,960,half,False,False,False,False
P1,5,Ab,A,-1,4,960,half,False,False,False,False
P1,6,G,G,,4,960,half,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,7,G,G,,4,960,half,False,False,False,False
P1,7,E,E,,5,960,half,False,False,False,False
P1,8,A,A,,4,960,half,False,False,False,False
P1,8,F,F,,5,960,half,False,False,False,False
P1,9,G,G,,5,1440,half,True,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,10,D#,D,1,5,960,half,False,False,False,False
P1,10,E,E,,5,960,half,False,False,False,False
P1,11,E,E,,4,720,quarter,True,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,11,E,E,,4,720,quarter,True,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,12,E,E,,4,720,quarter,True,False,False,False
P1,12,E,E,,4,240,eighth,False,False,False,False
P1,12,E,E,,4,720,quarter,True,False,False,False
P1,12,E,E,,4,240,eighth,False,False,False,False
P1,13,F,F,,4,720,quarter,True,False,False,False
P1,13,F,F,,4,240,eighth,False,False,False,False
P1,13,F,F,,4,720,quarter,True,False,False,False
P1,13,F,F,,4,240,eighth,False,False,False,False
P1,14,F,F,,4,720,quarter,True,False,False,False
P1,14,F,F,,4,240,eighth,False,False,False,False
P1,14,F,F,,4,720,quarter,True,False,False,False
P1,14,F,F,,4,240,eighth,False,False,False,False
P1,15,Eb,E,-1,4,720,quarter,True,False,False,False
P1,15,Eb,E,-1,4,240,eighth,False,False,False,False
P1,15,G,G,,4,720,quarter,True,False,False,False
P1,15,G,G,,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,720,quarter,True,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,16,Ab,A,-1,4,720,quarter,True,False,False,False
P1,16,Ab,A,-1,4,240,eighth,False,False,False,False
P1,17,Ab,A,-1,4,720,quarter,True,False,False,False
P1,17,Ab,A,-1,4,240,eighth,False,False,False,False
P1,17,Ab,A,-1,4,720,quarter,True,False,False,False
P1,17,Ab,A,-1,4,240,eighth,False,False,False,False
P1,18,Ab,A,-1,4,720,quarter,True,False,False,False
P1,18,Ab,A,-1,4,240,eighth,False,False,False,False
P1,18,G,G,,4,720,quarter,True,False,False,False
P1,18,G,G,,4,240,eighth,False,False,False,False
P1,19,G,G,,4,720,quarter,True,False,False,False
P1,19,G,G,,4,240,eighth,False,False,False,False
P1,19,G,G,,4,720,quarter,True,False,False,False
P1,19,G,G,,4,240,eighth,False,False,False,False
P1,20,G,G,,4,720,quarter,True,False,False,False
P1,20,G,G,,4,240,eighth,False,False,False,False
P1,20,G,G,,4,720,quarter,True,False,False,False
P1,20,G,G,,4,240,eighth,False,False,False,False
P1,21,Ab,A,-1,4,720,quarter,True,False,False,False
P1,21,Ab,A,-1,4,240,eighth,False,False,False,False
P1,21,Ab,A,-1,4,720,quarter,True,False,False,False
P1,21,Ab,A,-1,4,240,eighth,False,False,False,False
P1,22,Ab,A,-1,4,720,quarter,True,False,False,False
P1,22,Ab,A,-1,4,240,eighth,False,False,False,False
P1,22,Ab,A,-1,4,720,quarter,True,False,False,False
P1,22,Ab,A,-1,4,240,eighth,False,False,False,False
P1,23,G,G,,4,720,quarter,True,False,False,False
P1,23,G,G,,4,240,eighth,False,False,False,False
P1,23,G,G,,4,720,quarter,True,False,False,False
P1,23,G,G,,4,240,eighth,False,False,False,False
P1,24,G,G,,4,720,quarter,True,False,False,False
P1,24,G,G,,4,240,eighth,False,False,False,False
P1,24,G,G,,4,720,quarter,True,False,False,False
P1,24,G,G,,4,240,eighth,False,False,False,False
P1,25,A,A,,4,480,quarter,False,False,False,False
P1,25,,,,,480,quarter,False,True,False,False
P1,25,A,A,,4,960,half,False,False,False,False
P1,26,C,C,,5,960,half,False,False,False,False
P1,26,F,F,,5,960,half,False,False,False,False
P1,27,Bb,B,-1,4,480,quarter,False,False,False,False
P1,27,F,F,,5,480,quarter,False,False,False,False
P1,27,F,F,,5,160,eighth,False,False,False,False
P1,27,G,G,,5,160,eighth,False,False,False,False
P1,27,F,F,,5,160,eighth,False,False,False,False
P1,27,Eb,E,-1,5,160,eighth,False,False,False,False
P1,27,D,D,,5,160,eighth,False,False,False,False
P1,27,C,C,,5,160,eighth,False,False,False,False
P1,28,Bb,B,-1,4,480,quarter,False,False,False,False
P1,28,F,F,,5,360,eighth,True,False,False,False
P1,28,E,E,,5,60,32nd,False,False,False,False
P1,28,F,F,,5,60,32nd,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,F,F,,5,360,eighth,True,False,False,False
P1,28,E,E,,5,60,32nd,False,False,False,False
P1,28,F,F,,5,60,32nd,False,False,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,29,F,F,,5,480,quarter,False,False,False,False
P1,29,F,F,,5,160,eighth,False,False,False,False
P1,29,G,G,,5,160,eighth,False,False,False,False
P1,29,F,F,,5,160,eighth,False,False,False,False
P1,29,Eb,E,-1,5,160,eighth,False,False,False,False
P1,29,D,D,,5,160,eighth,False,False,False,False
P1,29,C,C,,5,160,eighth,False,False,False,False
P1,30,Bb,B,-1,4,480,quarter,False,False,False,False
P1,30,F,F,,5,360,eighth,True,False,False,False
P1,30,E,E,,5,60,32nd,False,False,False,False
P1,30,F,F,,5,60,32nd,False,False,False,False
P1,30,,,,,480,quarter,False,True,False,False
P1,30,F,F,,5,360,eighth,True,False,False,False
P1,30,E,E,,5,60,32nd,False,False,False,False
P1,30,F,F,,5,60,32nd,False,False,False,False
