part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,1920,whole,False,True,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,3,Eb,E,-1,4,1920,whole,False,False,False,False
P1,4,F,F,,4,1920,whole,False,False,False,False
P1,5,F,F,,4,960,half,False,False,False,False
P1,5,Eb,E,-1,4,480,quarter,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,6,Eb,E,-1,4,960,half,False,False,False,False
P1,6,Ab,A,-1,4,960,half,False,False,False,False
P1,7,G,G,,4,1920,whole,False,False,False,False
P1,8,G,G,,4,960,half,False,False,False,False
P1,8,F,F,,4,960,half,False,False,False,False
P1,9,Eb,E,-1,4,960,half,False,False,False,False
P1,9,,,,,960,half,False,True,False,False
P1,10,,,,,1920,whole,False,True,False,False
P1,11,,,,,1920,whole,False,True,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,Eb,E,-1,4,1920,whole,False,False,False,False
P1,14,F,F,,4,1920,whole,False,False,False,False
P1,15,F,F,,4,960,half,False,False,False,False
P1,15,Eb,E,-1,4,480,quarter,False,False,False,False
P1,15,D,D,,4,480,quarter,False,False,False,False
P1,16,Eb,E,-1,4,960,half,False,False,False,False
P1,16,Ab,A,-1,4,480,quarter,False,False,False,False
P1,16,Ab,A,-1,4,480,quarter,False,False,False,False
P1,17,G,G,,4,1920,whole,False,False,False,False
P1,18,G,G,,4,960,half,False,False,False,False
P1,18,F#,F,1,4,960,half,False,False,False,False
P1,19,G,G,,4,960,half,False,False,False,False
P1,19,,,,,960,half,False,True,False,False
P1,20,,,,,1920,whole,False,True,False,False
P1,21,Ab,A,-1,4,1440,half,True,False,False,False
P1,21,Ab,A,-1,4,480,quarter,False,False,False,False
P1,22,Ab,A,-1,4,960,half,False,False,False,False
P1,22,Ab,A,-1,4,480,quarter,False,False,False,False
P1,22,Ab,A,-1,4,480,quarter,False,False,False,False
P1,23,Cb,C,-1,5,1440,half,True,False,False,False
P1,23,Bb,B,-1,4,480,quarter,False,False,False,False
P1,24,Ab,A,-1,4,960,half,False,False,False,False
P1,24,,,,,960,half,False,True,False,False
P1,25,Ab,A,-1,4,960,half,False,False,False,False
P1,25,Ab,A,-1,4,960,half,False,False,False,False
P1,26,Ab,A,-1,4,960,half,False,False,False,False
P1,26,Ab,A,-1,4,480,quarter,False,False,False,False
P1,26,Ab,A,-1,4,480,quarter,False,False,False,False
P1,27,Cb,C,-1,5,1440,half,True,False,False,False
P1,27,Bb,B,-1,4,480,quarter,False,False,False,False
P1,28,Ab,A,-1,4,960,half,False,False,False,False
P1,28,,,,,960,half,False,True,False,False
P1,29,G,G,,4,960,half,False,False,False,False
P1,29,F,F,,4,960,half,False,False,False,False
P1,30,Eb,E,-1,4,960,half,False,False,False,False
P1,30,F,F,,4,960,half,False,False,False,False
P1,31,G,G,,4,1920,whole,False,False,False,False
P1,32,G,G,,4,960,half,False,False,False,False
P1,32,F,F,,4,960,half,False,False,False,False
P1,33,G,G,,4,960,half,False,False,False,False
P1,33,,,,,960,half,False,True,False,False
P1,34,,,,,1920,whole,False,True,False,False
P1,35,,,,,1920,whole,False,True,False,False
P1,36,,,,,1920,whole,False,True,False,False
P1,37,,,,,1920,whole,False,True,False,False
P1,38,,,,,1920,whole,False,True,False,False
P1,39,,,,,1920,whole,False,True,False,False
P1,40,,,,,1920,whole,False,True,False,False
P1,41,G,G,,4,960,half,False,False,False,False
P1,41,G,G,,4,480,quarter,False,False,False,False
P1,41,G,G,,4,480,quarter,False,False,False,False
P1,42,C,C,,5,960,half,False,False,False,False
P1,42,C,C,,5,960,half,False,False,False,False
P1,43,C,C,,5,960,half,False,False,False,False
P1,43,Bb,B,-1,4,480,quarter,False,False,False,False
P1,43,A,A,,4,480,quarter,False,False,False,False
P1,44,Bb,B,-1,4,960,half,False,False,False,False
P1,44,Eb,E,-1,5,960,half,False,False,False,False
P1,45,D,D,,5,960,half,False,False,False,False
P1,45,Db,D,-1,5,960,half,False,False,False,False
P1,46,C,C,,5,1920,whole,False,False,False,False
P1,47,Bb,B,-1,4,960,half,False,False,False,False
P1,47,,,,,960,half,False,True,False,False
P1,48,,,,,1920,whole,False,True,False,False
P1,49,Bb,B,-1,4,960,half,False,False,False,False
P1,49,Bb,B,-1,4,480,quarter,False,False,False,False
P1,49,Bb,B,-1,4,480,quarter,False,False,False,False
P1,50,C,C,,5,960,half,False,False,False,False
P1,50,C,C,,5,480,quarter,False,False,False,False
P1,50,C,C,,5,480,quarter,False,False,False,False
P1,51,C,C,,5,960,half,False,False,False,False
P1,51,Bb,B,-1,4,480,quarter,False,False,False,False
P1,51,A,A,,4,480,quarter,False,False,False,False
P1,52,Bb,B,-1,4,960,half,False,False,False,False
P1,52,Eb,E,-1,5,960,half,False,False,False,False
P1,53,D,D,,5,1920,whole,False,False,False,False
P1,54,D,D,,5,960,half,False,False,False,False
P1,54,C,C,,5,960,half,False,False,False,False
P1,55,Bb,B,-1,4,960,half,False,False,False,False
P1,55,,,,,960,half,False,True,False,False
P1,56,,,,,1920,whole,False,True,False,False
P1,57,,,,,1920,whole,False,True,False,False
P1,58,,,,,1920,whole,False,True,False,False
P1,59,,,,,1920,whole,False,True,False,False
P1,60,,,,,1920,whole,False,True,False,False
P1,61,A,A,,4,1440,half,True,False,False,False
P1,61,A,A,,4,480,quarter,False,False,False,False
P1,62,D,D,,5,960,half,False,False,False,False
P1,62,Db,D,-1,5,480,quarter,False,False,False,False
P1,62,Db,D,-1,5,480,quarter,False,False,False,False
P1,63,C,C,,5,960,half,False,False,False,False
P1,63,F,F,,5,960,half,False,False,False,False
P1,64,F,F,,5,480,quarter,False,False,False,False
P1,64,D,D,,5,480,quarter,False,False,False,False
P1,64,E,E,,5,960,half,False,False,False,False
P1,65,F,F,,5,960,half,False,False,False,False
P1,65,,,,,960,half,False,True,False,False
P1,66,,,,,1920,whole,False,True,False,False
P1,67,A,A,,4,960,half,False,False,False,False
