part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,G,G,,4,1920,whole,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,B,B,,4,1920,whole,False,False,False,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,960,half,False,True,False,False
P1,5,D,D,,5,1920,whole,False,False,False,False
P1,6,D,D,,5,480,quarter,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,,,,,960,half,False,True,False,False
P1,7,Eb,E,-1,5,480,quarter,False,False,False,False
P1,7,Eb,E,-1,5,240,eighth,False,False,False,False
P1,7,Eb,E,-1,5,240,eighth,False,False,False,False
P1,7,Eb,E,-1,5,480,quarter,False,False,False,False
P1,7,Eb,E,-1,5,480,quarter,False,False,False,False
P1,8,Eb,E,-1,5,720,quarter,True,False,False,False
P1,8,Eb,E,-1,5,240,eighth,False,False,False,False
P1,8,D,D,,5,960,half,False,False,False,False
P1,9,,,,,1920,whole,False,True,False,False
P1,10,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,Bb,B,-1,4,120,16th,False,False,False,False
P1,10,Bb,B,-1,4,120,16th,False,False,False,False
P1,10,Gb,G,-1,5,240,eighth,False,False,False,False
P1,10,Eb,E,-1,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,D,D,,5,120,16th,False,False,False,False
P1,10,Eb,E,-1,5,240,eighth,False,False,False,False
P1,10,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,Eb,E,-1,5,240,eighth,False,False,False,False
P1,11,Eb,E,-1,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,5,120,16th,False,False,False,False
P1,11,Eb,E,-1,5,480,quarter,False,False,False,False
P1,11,Eb,E,-1,5,960,half,False,False,False,False
P1,12,,,,,1920,whole,False,True,False,False
P1,13,G,G,,4,960,half,False,False,False,False
P1,13,G,G,,4,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,14,B,B,,4,960,half,False,False,False,False
P1,14,B,B,,4,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,15,D,D,,5,960,half,False,False,False,False
P1,15,D,D,,5,480,quarter,False,False,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,16,Eb,E,-1,5,480,quarter,False,False,False,False
P1,16,Eb,E,-1,5,240,eighth,False,False,False,False
P1,16,Eb,E,-1,5,240,eighth,False,False,False,False
P1,16,Eb,E,-1,5,480,quarter,False,False,False,False
P1,16,Eb,E,-1,5,480,quarter,False,False,False,False
P1,17,Eb,E,-1,5,720,quarter,True,False,False,False
P1,17,Eb,E,-1,5,240,eighth,False,False,False,False
P1,17,D,D,,5,960,half,False,False,False,False
P1,18,,,,,1920,whole,False,True,False,False
P1,19,F,F,,5,240,eighth,False,False,False,False
P1,19,F,F,,5,120,16th,False,False,False,False
P1,19,F,F,,5,120,16th,False,False,False,False
P1,19,Db,D,-1,5,240,eighth,False,False,False,False
P1,19,Bb,B,-1,4,240,eighth,False,False,False,False
