part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,5,240,eighth,False,False,False,False
P1,0,C#,C,1,6,240,eighth,False,False,False,False
P1,0,D,D,,6,240,eighth,False,False,False,False
P1,1,E,E,,6,480,quarter,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,A,A,,5,240,eighth,False,False,False,False
P1,1,B,B,,5,240,eighth,False,False,False,False
P1,1,C#,C,1,6,240,eighth,False,False,False,False
P1,2,D,D,,6,480,quarter,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F#,F,1,5,240,eighth,False,False,False,False
P1,2,G#,G,1,5,240,eighth,False,False,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,3,B,B,,5,480,quarter,False,False,False,False
P1,3,B,B,,5,480,quarter,False,False,False,False
P1,3,B,B,,5,480,quarter,False,False,False,False
P1,4,C#,C,1,6,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,,,,,1440,whole,False,True,False,False
P1,6,E,E,,6,480,quarter,False,False,False,False
P1,6,E,E,,6,480,quarter,False,False,False,False
P1,6,E,E,,6,480,quarter,False,False,False,False
P1,7,,,,,1440,whole,False,True,False,False
P1,8,,,,,1440,whole,False,True,False,False
P1,9,C#,C,1,6,480,quarter,False,False,False,False
P1,9,C#,C,1,6,480,quarter,False,False,False,False
P1,9,B,B,,5,480,quarter,False,False,False,False
P1,10,A,A,,5,480,quarter,False,False,False,False
P1,10,A,A,,5,480,quarter,False,False,False,False
P1,10,G#,G,1,5,480,quarter,False,False,False,False
P1,11,F#,F,1,5,480,quarter,False,False,False,False
P1,11,F#,F,1,5,480,quarter,False,False,False,False
P1,11,B,B,,5,480,quarter,False,False,False,False
P1,12,E,E,,5,480,quarter,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,13,F#,F,1,5,480,quarter,False,False,False,False
P1,13,F#,F,1,5,480,quarter,False,False,False,False
P1,13,B,B,,5,480,quarter,False,False,False,False
P1,14,G#,G,1,5,480,quarter,False,False,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,14,,,,,480,quarter,False,True,False,False
P1,15,F#,F,1,5,480,quarter,False,False,False,False
P1,15,F#,F,1,5,480,quarter,False,False,False,False
P1,15,B,B,,5,480,quarter,False,False,False,False
P1,16,E,E,,5,480,quarter,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,G#,G,1,5,480,quarter,False,False,False,False
P1,17,G#,G,1,5,480,quarter,False,False,False,False
P1,17,B,B,,5,480,quarter,False,False,False,False
P1,18,E,E,,6,480,quarter,False,False,False,False
P1,18,,,,,240,eighth,False,True,False,False
P1,18,A,A,,5,240,eighth,False,False,False,False
P1,18,C#,C,1,6,240,eighth,False,False,False,False
P1,18,D,D,,6,240,eighth,False,False,False,False
P1,19,E,E,,6,480,quarter,False,False,False,False
P1,19,,,,,240,eighth,False,True,False,False
P1,19,A,A,,5,240,eighth,False,False,False,False
P1,19,B,B,,5,240,eighth,False,False,False,False
P1,19,C#,C,1,6,240,eighth,False,False,False,False
P1,20,D,D,,6,480,quarter,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,F#,F,1,5,240,eighth,False,False,False,False
P1,20,G#,G,1,5,240,eighth,False,False,False,False
P1,20,A,A,,5,240,eighth,False,False,False,False
P1,21,B,B,,5,480,quarter,False,False,False,False
P1,21,B,B,,5,480,quarter,False,False,False,False
P1,21,B,B,,5,480,quarter,False,False,False,False
P1,22,C#,C,1,6,480,quarter,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,23,,,,,1440,whole,False,True,False,False
P1,24,E,E,,6,480,quarter,False,False,False,False
P1,24,E,E,,6,480,quarter,False,False,False,False
P1,24,E,E,,6,480,quarter,False,False,False,False
P1,25,,,,,1440,whole,False,True,False,False
P1,26,,,,,1440,whole,False,True,False,False
P1,27,D,D,,5,480,quarter,False,False,False,False
P1,27,D,D,,5,480,quarter,False,False,False,False
P1,27,D,D,,5,480,quarter,False,False,False,False
P1,28,G,G,,5,480,quarter,False,False,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,28,,,,,480,quarter,False,True,False,False
P1,29,D,D,,5,480,quarter,False,False,False,False
P1,29,D,D,,5,480,quarter,False,False,False,False
P1,29,D,D,,5,480,quarter,False,False,False,False
P1,30,G,G,,5,480,quarter,False,False,False,False
P1,30,,,,,480,quarter,False,True,False,False
P1,30,,,,,480,quarter,False,True,False,False
P1,31,E,E,,6,480,quarter,False,False,False,False
P1,31,E,E,,6,480,quarter,False,False,False,False
P1,31,D,D,,6,480,quarter,False,False,False,False
P1,32,C,C,,6,480,quarter,False,False,False,False
P1,32,C,C,,6,480,quarter,False,False,False,False
P1,32,Bb,B,-1,5,480,quarter,False,False,False,False
P1,33,A,A,,5,480,quarter,False,False,False,False
P1,33,A,A,,5,480,quarter,False,False,False,False
P1,33,G,G,,5,480,quarter,False,False,False,False
P1,34,F,F,,5,480,quarter,False,False,False,False
P1,34,F,F,,5,480,quarter,False,False,False,False
P1,34,E,E,,5,480,quarter,False,False,False,False
P1,35,D,D,,5,480,quarter,False,False,False,False
P1,35,D,D,,5,480,quarter,False,False,False,False
P1,35,G,G,,5,480,quarter,False,False,False,False
P1,36,C,C,,5,480,quarter,False,False,False,False
P1,36,,,,,480,quarter,False,True,False,False
P1,36,,,,,480,quarter,False,True,False,False
P1,37,D,D,,5,480,quarter,False,False,False,False
P1,37,D,D,,5,480,quarter,False,False,False,False
P1,37,G,G,,5,480,quarter,False,False,False,False
P1,38,E,E,,5,480,quarter,False,False,False,False
P1,38,,,,,480,quarter,False,True,False,False
P1,38,,,,,480,quarter,False,True,False,False
P1,39,D,D,,5,480,quarter,False,False,False,False
P1,39,D,D,,5,480,quarter,False,False,False,False
P1,39,G,G,,5,480,quarter,False,False,False,False
P1,40,C,C,,5,480,quarter,False,False,False,False
P1,40,,,,,480,quarter,False,True,False,False
P1,40,,,,,480,quarter,False,True,False,False
P1,41,E,E,,5,480,quarter,False,False,False,False
P1,41,E,E,,5,480,quarter,False,False,False,False
P1,41,G,G,,5,480,quarter,False,False,False,False
P1,42,C,C,,6,480,quarter,False,False,False,False
P1,42,,,,,240,eighth,False,True,False,False
P1,43,,,,,240,eighth,False,True,False,False
P1,43,,,,,480,quarter,False,True,False,False
P1,44,,,,,480,quarter,False,True,False,False
P1,44,,,,,240,eighth,False,True,False,False
P1,44,F#,F,1,5,240,eighth,False,False,False,False
P1,44,G,G,,5,240,eighth,False,False,False,False
P1,44,A,A,,5,240,eighth,False,False,False,False
P1,45,Bb,B,-1,5,960,half,False,False,False,False
P1,45,A,A,,5,480,quarter,False,False,False,False
P1,46,G,G,,5,960,half,False,False,False,False
P1,46,F,F,,5,480,quarter,False,False,False,False
P1,47,E,E,,5,480,quarter,False,False,False,False
P1,47,E,E,,5,480,quarter,False,False,False,False
P1,47,F,F,,5,480,quarter,False,False,False,False
P1,48,G,G,,5,480,quarter,False,False,False,False
P1,48,G,G,,4,480,quarter,False,False,False,False
P1,48,Ab,A,-1,4,480,quarter,False,False,False,False
P1,49,G,G,,4,480,quarter,False,False,False,False
P1,49,G,G,,4,480,quarter,False,False,False,False
P1,49,Ab,A,-1,4,480,quarter,False,False,False,False
