part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,D,D,,4,360,eighth,True,False,False,False
P1,3,E,E,,4,60,32nd,False,False,False,False
P1,3,D,D,,4,60,32nd,False,False,False,False
P1,3,C#,C,1,4,240,eighth,False,False,False,False
P1,3,B,B,,3,240,eighth,False,False,False,False
P1,4,C#,C,1,4,480,quarter,False,False,False,False
P1,4,C#,C,1,4,480,quarter,False,False,False,False
P1,5,D,D,,4,360,eighth,True,False,False,False
P1,5,E,E,,4,60,32nd,False,False,False,False
P1,5,D,D,,4,60,32nd,False,False,False,False
P1,5,C#,C,1,4,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,6,C#,C,1,4,960,half,False,False,False,False
P1,7,,,,,960,half,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,10,,,,,960,half,False,True,False,False
P1,11,E,E,,4,360,eighth,True,False,False,False
P1,11,F#,F,1,4,60,32nd,False,False,False,False
P1,11,E,E,,4,60,32nd,False,False,False,False
P1,11,D,D,,4,240,eighth,False,False,False,False
P1,11,C#,C,1,4,240,eighth,False,False,False,False
P1,12,C#,C,1,4,480,quarter,False,False,False,False
P1,12,C#,C,1,4,480,quarter,False,False,False,False
P1,13,F#,F,1,4,240,eighth,False,False,False,False
P1,13,E,E,,4,240,eighth,False,False,False,False
P1,13,E,E,,4,240,eighth,False,False,False,False
P1,13,E,E,,4,240,eighth,False,False,False,False
P1,14,E,E,,4,480,quarter,False,False,False,False
P1,14,D,D,,4,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,15,D,D,,4,360,eighth,True,False,False,False
P1,15,E,E,,4,60,32nd,False,False,False,False
P1,15,D,D,,4,60,32nd,False,False,False,False
P1,15,C#,C,1,4,240,eighth,False,False,False,False
P1,15,B,B,,3,240,eighth,False,False,False,False
P1,16,B,B,,3,480,quarter,False,False,False,False
P1,16,B,B,,3,480,quarter,False,False,False,False
P1,17,E,E,,4,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,18,D,D,,4,480,quarter,False,False,False,False
P1,18,C#,C,1,4,240,eighth,False,False,False,False
P1,18,,,,,240,eighth,False,True,False,False
P1,19,,,,,960,half,False,True,False,False
P1,20,,,,,960,half,False,True,False,False
P1,21,,,,,960,half,False,True,False,False
P1,22,,,,,960,half,False,True,False,False
P1,23,,,,,960,half,False,True,False,False
P1,24,,,,,960,half,False,True,False,False
P1,25,,,,,960,half,False,True,False,False
P1,26,,,,,960,half,False,True,False,False
P1,27,,,,,960,half,False,True,False,False
P1,28,,,,,960,half,False,True,False,False
P1,29,D,D,,4,360,eighth,True,False,False,False
P1,29,E,E,,4,60,32nd,False,False,False,False
P1,29,D,D,,4,60,32nd,False,False,False,False
P1,29,C#,C,1,4,240,eighth,False,False,False,False
P1,29,B,B,,3,240,eighth,False,False,False,False
P1,30,C#,C,1,4,480,quarter,False,False,False,False
P1,30,C#,C,1,4,480,quarter,False,False,False,False
P1,31,D,D,,4,360,eighth,True,False,False,False
P1,31,E,E,,4,60,32nd,False,False,False,False
P1,31,D,D,,4,60,32nd,False,False,False,False
P1,31,C#,C,1,4,240,eighth,False,False,False,False
P1,31,B,B,,3,240,eighth,False,False,False,False
P1,32,C#,C,1,4,960,half,False,False,False,False
P1,33,,,,,960,half,False,True,False,False
P1,34,,,,,960,half,False,True,False,False
P1,35,,,,,960,half,False,True,False,False
P1,36,,,,,960,half,False,True,False,False
P1,37,A,A,,4,360,eighth,True,False,False,False
P1,37,B,B,,4,60,32nd,False,False,False,False
P1,37,A,A,,4,60,32nd,False,False,False,False
P1,37,G,G,,4,240,eighth,False,False,False,False
P1,37,F,F,,4,240,eighth,False,False,False,False
P1,38,E,E,,4,480,quarter,False,False,False,False
P1,38,E,E,,4,480,quarter,False,False,False,False
P1,39,E,E,,4,480,quarter,False,False,False,False
P1,39,B,B,,4,480,quarter,False,False,False,False
P1,39,E,E,,4,480,quarter,False,False,False,False
P1,39,B,B,,4,480,quarter,False,False,False,False
P1,40,E,E,,4,480,quarter,False,False,False,False
P1,40,C,C,,5,480,quarter,False,False,False,False
P1,40,G,G,,4,480,quarter,False,False,False,False
P1,40,D,D,,5,480,quarter,False,False,False,False
P1,41,G,G,,4,240,eighth,False,False,False,False
P1,41,D,D,,5,240,eighth,False,False,False,False
P1,41,G,G,,4,240,eighth,False,False,False,False
P1,41,E,E,,5,240,eighth,False,False,False,False
P1,41,G,G,,4,240,eighth,False,False,False,False
P1,41,E,E,,5,240,eighth,False,False,False,False
P1,41,G,G,,4,240,eighth,False,False,False,False
P1,41,E,E,,5,240,eighth,False,False,False,False
P1,42,G,G,,4,480,quarter,False,False,False,False
P1,42,E,E,,5,480,quarter,False,False,False,False
P1,42,D,D,,5,480,quarter,False,False,False,False
P1,42,G,G,,5,480,quarter,False,False,False,False
P1,43,C,C,,5,480,quarter,False,False,False,False
P1,43,E,E,,5,480,quarter,False,False,False,False
P1,43,G,G,,4,480,quarter,False,False,False,False
P1,43,D,D,,5,480,quarter,False,False,False,False
P1,44,E,E,,4,480,quarter,False,False,False,False
P1,44,C,C,,5,480,quarter,False,False,False,False
P1,44,,,,,480,quarter,False,True,False,False
P1,45,A,A,,5,360,eighth,True,False,False,False
P1,45,B,B,,5,60,32nd,False,False,False,False
P1,45,A,A,,5,60,32nd,False,False,False,False
P1,45,G,G,,5,240,eighth,False,False,False,False
P1,45,F,F,,5,240,eighth,False,False,False,False
P1,46,E,E,,5,480,quarter,False,False,False,False
P1,46,E,E,,5,480,quarter,False,False,False,False
P1,47,B,B,,5,480,quarter,False,False,False,False
P1,47,B,B,,5,480,quarter,False,False,False,False
P1,48,C,C,,6,480,quarter,False,False,False,False
P1,48,D,D,,6,480,quarter,False,False,False,False
P1,49,D,D,,6,240,eighth,False,False,False,False
P1,49,F,F,,6,240,eighth,False,False,False,False
P1,49,E,E,,6,240,eighth,False,False,False,False
P1,49,D,D,,6,240,eighth,False,False,False,False
P1,50,G,G,,6,480,quarter,False,False,False,False
P1,50,C,C,,6,240,eighth,False,False,False,False
P1,50,D,D,,6,240,eighth,False,False,False,False
P1,51,E,E,,6,480,quarter,False,False,False,False
P1,51,D,D,,6,480,quarter,False,False,False,False
P1,52,C,C,,6,480,quarter,False,False,False,False
P1,52,,,,,480,quarter,False,True,False,False
P1,53,A,A,,4,360,eighth,True,False,False,False
P1,53,B,B,,4,60,32nd,False,False,False,False
P1,53,A,A,,4,60,32nd,False,False,False,False
P1,53,G,G,,4,240,eighth,False,False,False,False
P1,53,F,F,,4,240,eighth,False,False,False,False
P1,54,E,E,,4,480,quarter,False,False,False,False
P1,54,E,E,,4,480,quarter,False,False,False,False
P1,55,E,E,,4,480,quarter,False,False,False,False
P1,55,B,B,,4,480,quarter,False,False,False,False
P1,55,E,E,,4,480,quarter,False,False,False,False
P1,55,B,B,,4,480,quarter,False,False,False,False
P1,56,E,E,,4,480,quarter,False,False,False,False
P1,56,C,C,,5,480,quarter,False,False,False,False
P1,56,G,G,,4,480,quarter,False,False,False,False
P1,56,D,D,,5,480,quarter,False,False,False,False
P1,57,G,G,,4,240,eighth,False,False,False,False
P1,57,D,D,,5,240,eighth,False,False,False,False
P1,57,G,G,,4,240,eighth,False,False,False,False
P1,57,E,E,,5,240,eighth,False,False,False,False
P1,57,G,G,,4,240,eighth,False,False,False,False
P1,57,E,E,,5,240,eighth,False,False,False,False
P1,57,G,G,,4,240,eighth,False,False,False,False
P1,57,E,E,,5,240,eighth,False,False,False,False
P1,58,G,G,,4,480,quarter,False,False,False,False
P1,58,E,E,,5,480,quarter,False,False,False,False
P1,58,D,D,,5,480,quarter,False,False,False,False
P1,58,G,G,,5,480,quarter,False,False,False,False
P1,59,C,C,,5,480,quarter,False,False,False,False
P1,59,E,E,,5,480,quarter,False,False,False,False
P1,59,G,G,,4,480,quarter,False,False,False,False
P1,59,D,D,,5,480,quarter,False,False,False,False
P1,60,E,E,,4,480,quarter,False,False,False,False
P1,60,C,C,,5,480,quarter,False,False,False,False
P1,60,,,,,480,quarter,False,True,False,False
P1,61,,,,,960,half,False,True,False,False
P1,62,,,,,960,half,False,True,False,False
P1,63,,,,,960,half,False,True,False,False
P1,64,,,,,960,half,False,True,False,False
P1,65,,,,,960,half,False,True,False,False
P1,66,,,,,480,quarter,False,True,False,False
P1,66,D,D,,5,480,quarter,False,False,False,False
P1,67,D,D,,5,240,eighth,False,False,False,False
P1,67,F,F,,5,240,eighth,False,False,False,False
P1,67,E,E,,5,240,eighth,False,False,False,False
P1,67,D,D,,5,240,eighth,False,False,False,False
P1,68,G,G,,5,480,quarter,False,False,False,False
P1,68,,,,,480,quarter,False,True,False,False
P1,69,,,,,960,half,False,True,False,False
P1,70,,,,,480,quarter,False,True,False,False
P1,70,E,E,,4,480,quarter,False,False,False,False
P1,70,B,B,,4,480,quarter,False,False,False,False
P1,71,E,E,,4,240,eighth,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,71,E,E,,4,240,eighth,False,False,False,False
P1,71,D,D,,5,240,eighth,False,False,False,False
P1,71,E,E,,4,240,eighth,False,False,False,False
P1,71,C,C,,5,240,eighth,False,False,False,False
P1,71,E,E,,4,240,eighth,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,72,E,E,,4,480,quarter,False,False,False,False
P1,72,E,E,,5,480,quarter,False,False,False,False
P1,72,,,,,480,quarter,False,True,False,False
P1,73,,,,,960,half,False,True,False,False
P1,74,,,,,480,quarter,False,True,False,False
P1,74,G,G,,4,480,quarter,False,False,False,False
P1,75,G,G,,4,240,eighth,False,False,False,False
P1,75,Bb,B,-1,4,240,eighth,False,False,False,False
P1,75,A,A,,4,240,eighth,False,False,False,False
P1,75,G,G,,4,240,eighth,False,False,False,False
P1,76,C,C,,5,480,quarter,False,False,False,False
P1,76,,,,,480,quarter,False,True,False,False
P1,77,,,,,960,half,False,True,False,False
P1,78,,,,,480,quarter,False,True,False,False
P1,78,E,E,,4,480,quarter,False,False,False,False
P1,79,E,E,,4,240,eighth,False,False,False,False
P1,79,G,G,,4,240,eighth,False,False,False,False
P1,79,F,F,,4,240,eighth,False,False,False,False
P1,79,E,E,,4,240,eighth,False,False,False,False
P1,80,A,A,,4,960,half,False,False,False,False
P1,81,G,G,,4,960,half,False,False,False,False
P1,82,F,F,,4,960,half,False,False,False,False
P1,83,E,E,,4,960,half,False,False,False,False
P1,84,D,D,,4,480,quarter,False,False,False,False
P1,84,D,D,,5,480,quarter,False,False,False,False
P1,85,D,D,,5,240,eighth,False,False,False,False
P1,85,F#,F,1,5,240,eighth,False,False,False,False
P1,85,E,E,,5,240,eighth,False,False,False,False
P1,85,D,D,,5,240,eighth,False,False,False,False
P1,86,A,A,,5,960,half,False,False,False,False
P1,87,F#,F,1,5,480,quarter,False,False,False,False
P1,87,D,D,,5,480,quarter,False,False,False,False
P1,88,A,A,,4,480,quarter,False,False,False,False
P1,88,,,,,480,quarter,False,True,False,False
P1,89,,,,,960,half,False,True,False,False
P1,90,,,,,960,half,False,True,False,False
P1,91,,,,,960,half,False,True,False,False
P1,92,,,,,480,quarter,False,True,False,False
P1,92,D,D,,5,480,quarter,False,False,False,False
P1,93,D,D,,5,240,eighth,False,False,False,False
P1,93,F#,F,1,5,240,eighth,False,False,False,False
P1,93,E,E,,5,240,eighth,False,False,False,False
P1,93,D,D,,5,240,eighth,False,False,False,False
P1,94,A,A,,5,960,half,False,False,False,False
P1,95,F#,F,1,5,480,quarter,False,False,False,False
P1,95,D,D,,5,480,quarter,False,False,False,False
P1,96,A,A,,4,480,quarter,False,False,False,False
P1,96,,,,,480,quarter,False,True,False,False
P1,97,,,,,960,half,False,True,False,False
P1,98,,,,,960,half,False,True,False,False
P1,99,,,,,960,half,False,True,False,False
P1,100,,,,,480,quarter,False,True,False,False
P1,100,D,D,,5,480,quarter,False,False,False,False
P1,101,D,D,,5,240,eighth,False,False,False,False
P1,101,F#,F,1,5,240,eighth,False,False,False,False
P1,101,E,E,,5,240,eighth,False,False,False,False
P1,101,D,D,,5,240,eighth,False,False,False,False
P1,102,A,A,,5,960,half,False,False,False,False
P1,103,G#,G,1,5,480,quarter,False,False,False,False
P1,103,F#,F,1,5,480,quarter,False,False,False,False
P1,104,C#,C,1,6,960,half,False,False,False,False
P1,105,C#,C,1,6,960,half,False,False,False,False
P1,106,E#,E,1,5,960,half,False,False,False,False
P1,107,E#,E,1,5,960,half,False,False,False,False
P1,108,D#,D,1,5,,32nd,False,False,True,False
P1,109,E#,E,1,5,,32nd,False,False,True,False
P1,110,F#,F,1,5,240,eighth,False,False,False,False
P1,110,F#,F,1,5,240,eighth,False,False,False,False
P1,110,F#,F,1,5,240,eighth,False,False,False,False
P1,110,F#,F,1,5,240,eighth,False,False,False,False
P1,111,F#,F,1,5,240,eighth,False,False,False,False
