part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,half,False,True,False,False
P1,2,,,,,960,half,False,True,False,False
P1,3,A,A,,4,360,eighth,True,False,False,False
P1,3,B,B,,4,60,32nd,False,False,False,False
P1,3,A,A,,4,60,32nd,False,False,False,False
P1,3,G#,G,1,4,240,eighth,False,False,False,False
P1,3,F#,F,1,4,240,eighth,False,False,False,False
P1,4,G#,G,1,4,480,quarter,False,False,False,False
P1,4,G#,G,1,4,480,quarter,False,False,False,False
P1,5,A,A,,4,360,eighth,True,False,False,False
P1,5,B,B,,4,60,32nd,False,False,False,False
P1,5,A,A,,4,60,32nd,False,False,False,False
P1,5,G#,G,1,4,240,eighth,False,False,False,False
P1,5,F#,F,1,4,240,eighth,False,False,False,False
P1,6,G#,G,1,4,960,half,False,False,False,False
P1,7,,,,,960,half,False,True,False,False
P1,8,,,,,960,half,False,True,False,False
P1,9,,,,,960,half,False,True,False,False
P1,10,,,,,960,half,False,True,False,False
P1,11,B,B,,4,360,eighth,True,False,False,False
P1,11,C#,C,1,5,60,32nd,False,False,False,False
P1,11,B,B,,4,60,32nd,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,G#,G,1,4,240,eighth,False,False,False,False
P1,12,G#,G,1,4,480,quarter,False,False,False,False
P1,12,G#,G,1,4,480,quarter,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,14,B,B,,4,480,quarter,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,,,,,240,eighth,False,True,False,False
P1,15,A,A,,4,360,eighth,True,False,False,False
P1,15,B,B,,4,60,32nd,False,False,False,False
P1,15,A,A,,4,60,32nd,False,False,False,False
P1,15,G#,G,1,4,240,eighth,False,False,False,False
P1,15,F#,F,1,4,240,eighth,False,False,False,False
P1,16,F#,F,1,4,480,quarter,False,False,False,False
P1,16,F#,F,1,4,480,quarter,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,17,A,A,,4,240,eighth,False,False,False,False
P1,17,A,A,,4,240,eighth,False,False,False,False
P1,17,A,A,,4,240,eighth,False,False,False,False
P1,18,A,A,,4,480,quarter,False,False,False,False
P1,18,G#,G,1,4,240,eighth,False,False,False,False
P1,18,,,,,240,eighth,False,True,False,False
P1,19,,,,,960,half,False,True,False,False
P1,20,,,,,960,half,False,True,False,False
P1,21,,,,,960,half,False,True,False,False
P1,22,,,,,960,half,False,True,False,False
P1,23,,,,,960,half,False,True,False,False
P1,24,,,,,960,half,False,True,False,False
P1,25,,,,,960,half,False,True,False,False
P1,26,,,,,960,half,False,True,False,False
P1,27,,,,,960,half,False,True,False,False
P1,28,,,,,960,half,False,True,False,False
P1,29,A,A,,4,360,eighth,True,False,False,False
P1,29,B,B,,4,60,32nd,False,False,False,False
P1,29,A,A,,4,60,32nd,False,False,False,False
P1,29,G#,G,1,4,240,eighth,False,False,False,False
P1,29,F#,F,1,4,240,eighth,False,False,False,False
P1,30,G#,G,1,4,480,quarter,False,False,False,False
P1,30,G#,G,1,4,480,quarter,False,False,False,False
P1,31,A,A,,4,360,eighth,True,False,False,False
P1,31,B,B,,4,60,32nd,False,False,False,False
P1,31,A,A,,4,60,32nd,False,False,False,False
P1,31,G#,G,1,4,240,eighth,False,False,False,False
P1,31,F#,F,1,4,240,eighth,False,False,False,False
P1,32,G#,G,1,4,960,half,False,False,False,False
P1,33,,,,,960,half,False,True,False,False
P1,34,,,,,960,half,False,True,False,False
P1,35,,,,,960,half,False,True,False,False
P1,36,,,,,960,half,False,True,False,False
P1,37,E,E,,4,360,eighth,True,False,False,False
P1,37,F#,F,1,4,60,32nd,False,False,False,False
P1,37,E,E,,4,60,32nd,False,False,False,False
P1,37,D,D,,4,240,eighth,False,False,False,False
P1,37,C,C,,4,240,eighth,False,False,False,False
P1,38,B,B,,3,480,quarter,False,False,False,False
P1,38,B,B,,3,480,quarter,False,False,False,False
P1,39,B,B,,4,480,quarter,False,False,False,False
P1,39,F#,F,1,5,480,quarter,False,False,False,False
P1,39,B,B,,4,480,quarter,False,False,False,False
P1,39,F#,F,1,5,480,quarter,False,False,False,False
P1,40,B,B,,4,480,quarter,False,False,False,False
P1,40,G,G,,5,480,quarter,False,False,False,False
P1,40,D,D,,5,480,quarter,False,False,False,False
P1,40,A,A,,5,480,quarter,False,False,False,False
P1,41,D,D,,5,240,eighth,False,False,False,False
P1,41,A,A,,5,240,eighth,False,False,False,False
P1,41,D,D,,5,240,eighth,False,False,False,False
P1,41,B,B,,5,240,eighth,False,False,False,False
P1,41,D,D,,5,240,eighth,False,False,False,False
P1,41,B,B,,5,240,eighth,False,False,False,False
P1,41,D,D,,5,240,eighth,False,False,False,False
P1,41,B,B,,5,240,eighth,False,False,False,False
P1,42,D,D,,5,480,quarter,False,False,False,False
P1,42,B,B,,5,480,quarter,False,False,False,False
P1,42,D,D,,5,480,quarter,False,False,False,False
P1,42,D,D,,6,480,quarter,False,False,False,False
P1,43,D,D,,5,480,quarter,False,False,False,False
P1,43,B,B,,5,480,quarter,False,False,False,False
P1,43,C,C,,5,480,quarter,False,False,False,False
P1,43,A,A,,5,480,quarter,False,False,False,False
P1,44,B,B,,4,480,quarter,False,False,False,False
P1,44,G,G,,5,480,quarter,False,False,False,False
P1,44,,,,,480,quarter,False,True,False,False
P1,45,E,E,,5,360,eighth,True,False,False,False
P1,45,F#,F,1,5,60,32nd,False,False,False,False
P1,45,E,E,,5,60,32nd,False,False,False,False
P1,45,D,D,,5,240,eighth,False,False,False,False
P1,45,C,C,,5,240,eighth,False,False,False,False
P1,46,B,B,,4,480,quarter,False,False,False,False
P1,46,B,B,,4,480,quarter,False,False,False,False
P1,47,F#,F,1,5,480,quarter,False,False,False,False
P1,47,F#,F,1,5,480,quarter,False,False,False,False
P1,48,G,G,,5,480,quarter,False,False,False,False
P1,48,A,A,,5,480,quarter,False,False,False,False
P1,49,A,A,,5,240,eighth,False,False,False,False
P1,49,C,C,,6,240,eighth,False,False,False,False
P1,49,B,B,,5,240,eighth,False,False,False,False
P1,49,A,A,,5,240,eighth,False,False,False,False
P1,50,D,D,,6,480,quarter,False,False,False,False
P1,50,G,G,,5,240,eighth,False,False,False,False
P1,50,A,A,,5,240,eighth,False,False,False,False
P1,51,B,B,,5,480,quarter,False,False,False,False
P1,51,A,A,,5,480,quarter,False,False,False,False
P1,52,G,G,,5,480,quarter,False,False,False,False
P1,52,,,,,480,quarter,False,True,False,False
P1,53,E,E,,4,360,eighth,True,False,False,False
P1,53,F#,F,1,4,60,32nd,False,False,False,False
P1,53,E,E,,4,60,32nd,False,False,False,False
P1,53,D,D,,4,240,eighth,False,False,False,False
P1,53,C,C,,4,240,eighth,False,False,False,False
P1,54,B,B,,3,480,quarter,False,False,False,False
P1,54,B,B,,3,480,quarter,False,False,False,False
P1,55,B,B,,4,480,quarter,False,False,False,False
P1,55,F#,F,1,5,480,quarter,False,False,False,False
P1,55,B,B,,4,480,quarter,False,False,False,False
P1,55,F#,F,1,5,480,quarter,False,False,False,False
P1,56,B,B,,4,480,quarter,False,False,False,False
P1,56,G,G,,5,480,quarter,False,False,False,False
P1,56,D,D,,5,480,quarter,False,False,False,False
P1,56,A,A,,5,480,quarter,False,False,False,False
P1,57,D,D,,5,240,eighth,False,False,False,False
P1,57,A,A,,5,240,eighth,False,False,False,False
P1,57,D,D,,5,240,eighth,False,False,False,False
P1,57,B,B,,5,240,eighth,False,False,False,False
P1,57,D,D,,5,240,eighth,False,False,False,False
P1,57,B,B,,5,240,eighth,False,False,False,False
P1,57,D,D,,5,240,eighth,False,False,False,False
P1,57,B,B,,5,240,eighth,False,False,False,False
P1,58,D,D,,5,480,quarter,False,False,False,False
P1,58,B,B,,5,480,quarter,False,False,False,False
P1,58,A,A,,5,480,quarter,False,False,False,False
P1,58,D,D,,6,480,quarter,False,False,False,False
P1,59,G,G,,5,480,quarter,False,False,False,False
P1,59,B,B,,5,480,quarter,False,False,False,False
P1,59,D,D,,5,480,quarter,False,False,False,False
P1,59,A,A,,5,480,quarter,False,False,False,False
P1,60,B,B,,4,480,quarter,False,False,False,False
P1,60,G,G,,5,480,quarter,False,False,False,False
P1,60,,,,,480,quarter,False,True,False,False
P1,61,,,,,960,half,False,True,False,False
P1,62,,,,,960,half,False,True,False,False
P1,63,,,,,960,half,False,True,False,False
P1,64,,,,,960,half,False,True,False,False
P1,65,,,,,960,half,False,True,False,False
P1,66,,,,,480,quarter,False,True,False,False
P1,66,A,A,,5,480,quarter,False,False,False,False
P1,67,A,A,,5,240,eighth,False,False,False,False
P1,67,C,C,,6,240,eighth,False,False,False,False
P1,67,B,B,,5,240,eighth,False,False,False,False
P1,67,A,A,,5,240,eighth,False,False,False,False
P1,68,D,D,,6,480,quarter,False,False,False,False
P1,68,,,,,480,quarter,False,True,False,False
P1,69,,,,,960,half,False,True,False,False
P1,70,,,,,480,quarter,False,True,False,False
P1,70,B,B,,4,480,quarter,False,False,False,False
P1,70,F#,F,1,5,480,quarter,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,71,F#,F,1,5,240,eighth,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,71,A,A,,5,240,eighth,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,71,G,G,,5,240,eighth,False,False,False,False
P1,71,B,B,,4,240,eighth,False,False,False,False
P1,71,F#,F,1,5,240,eighth,False,False,False,False
P1,72,B,B,,4,480,quarter,False,False,False,False
P1,72,B,B,,5,480,quarter,False,False,False,False
P1,72,,,,,480,quarter,False,True,False,False
P1,73,,,,,960,half,False,True,False,False
P1,74,,,,,480,quarter,False,True,False,False
P1,74,D,D,,5,480,quarter,False,False,False,False
P1,75,D,D,,5,240,eighth,False,False,False,False
P1,75,F,F,,5,240,eighth,False,False,False,False
P1,75,E,E,,5,240,eighth,False,False,False,False
P1,75,D,D,,5,240,eighth,False,False,False,False
P1,76,G,G,,5,480,quarter,False,False,False,False
P1,76,,,,,480,quarter,False,True,False,False
P1,77,,,,,960,half,False,True,False,False
P1,78,,,,,480,quarter,False,True,False,False
P1,78,B,B,,4,480,quarter,False,False,False,False
P1,79,B,B,,4,240,eighth,False,False,False,False
P1,79,D,D,,5,240,eighth,False,False,False,False
P1,79,C,C,,5,240,eighth,False,False,False,False
P1,79,B,B,,4,240,eighth,False,False,False,False
P1,80,E,E,,5,960,half,False,False,False,False
P1,81,D,D,,5,960,half,False,False,False,False
P1,82,C,C,,5,960,half,False,False,False,False
P1,83,B,B,,4,960,half,False,False,False,False
P1,84,A,A,,4,480,quarter,False,False,False,False
P1,84,,,,,480,quarter,False,True,False,False
P1,85,,,,,960,half,False,True,False,False
P1,86,,,,,960,half,False,True,False,False
P1,87,,,,,960,half,False,True,False,False
P1,88,,,,,480,quarter,False,True,False,False
P1,88,E,E,,5,480,quarter,False,False,False,False
P1,89,E,E,,5,240,eighth,False,False,False,False
P1,89,G#,G,1,5,240,eighth,False,False,False,False
P1,89,F#,F,1,5,240,eighth,False,False,False,False
P1,89,E,E,,5,240,eighth,False,False,False,False
P1,90,B,B,,5,960,half,False,False,False,False
P1,91,G#,G,1,5,480,quarter,False,False,False,False
P1,91,D,D,,5,480,quarter,False,False,False,False
P1,92,C#,C,1,5,480,quarter,False,False,False,False
P1,92,,,,,480,quarter,False,True,False,False
P1,92A,,,,,960,half,False,True,False,False
P1,93,,,,,960,half,False,True,False,False
P1,93A,,,,,960,half,False,True,False,False
P1,94,,,,,480,quarter,False,True,False,False
P1,94,E,E,,5,480,quarter,False,False,False,False
P1,95,E,E,,5,240,eighth,False,False,False,False
P1,95,G#,G,1,5,240,eighth,False,False,False,False
P1,95,F#,F,1,5,240,eighth,False,False,False,False
P1,95,E,E,,5,240,eighth,False,False,False,False
P1,96,B,B,,5,960,half,False,False,False,False
P1,97,G#,G,1,5,480,quarter,False,False,False,False
P1,97,D,D,,5,480,quarter,False,False,False,False
P1,98,C#,C,1,5,480,quarter,False,False,False,False
P1,98,,,,,480,quarter,False,True,False,False
P1,99,,,,,960,half,False,True,False,False
P1,100,,,,,960,half,False,True,False,False
P1,101,,,,,960,half,False,True,False,False
P1,102,,,,,480,quarter,False,True,False,False
P1,102,C#,C,1,5,480,quarter,False,False,False,False
P1,103,C#,C,1,5,240,eighth,False,False,False,False
P1,103,E,E,,5,240,eighth,False,False,False,False
P1,103,D#,D,1,5,240,eighth,False,False,False,False
P1,103,C#,C,1,5,240,eighth,False,False,False,False
P1,104,F#,F,1,5,960,half,False,False,False,False
P1,105,F#,F,1,5,480,quarter,False,False,False,False
P1,106,E,E,,5,240,eighth,False,False,False,False
P1,107A,D#,D,1,5,240,eighth,False,False,False,False
P1,108,C#,C,1,5,240,eighth,False,False,False,False
P1,108,C#,C,1,5,240,eighth,False,False,False,False
P1,108,C#,C,1,5,240,eighth,False,False,False,False
P1,108,C#,C,1,5,240,eighth,False,False,False,False
