part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,C,C,,4,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,4,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,2,C,C,,5,720,quarter,True,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,Ab,A,-1,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,Eb,E,-1,4,240,eighth,False,False,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,Eb,E,-1,4,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,Eb,E,-1,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,6,Eb,E,-1,5,720,quarter,True,False,False,False
P1,6,Bb,B,-1,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,Ab,A,-1,4,240,eighth,False,False,False,False
P1,7,C,C,,5,240,eighth,False,False,False,False
P1,7,Ab,A,-1,4,240,eighth,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,7,,,,,240,eighth,False,True,False,False
P1,8,G,G,,4,240,eighth,False,False,False,False
P1,8,F,F,,4,240,eighth,False,False,False,False
P1,8,D,D,,5,240,eighth,False,False,False,False
P1,8,Eb,E,-1,5,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,8,Eb,E,-1,4,480,quarter,False,False,False,False
P1,9,Eb,E,-1,5,240,eighth,False,False,False,False
P1,9,,,,,240,eighth,False,True,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,Ab,A,-1,4,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,F,F,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,,,,,960,half,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,11,,,,,240,eighth,False,True,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,D,D,,5,240,eighth,False,False,False,False
P1,12,Ab,A,-1,4,240,eighth,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
P1,12,F,F,,5,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,Ab,A,-1,5,240,eighth,False,False,False,False
P1,13,Eb,E,-1,5,240,eighth,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,F,F,,5,240,eighth,False,False,False,False
P1,13,C,C,,5,240,eighth,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
