part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,48,whole,False,True,False,False
P1,1,,,,,48,whole,False,True,False,False
P1,1,C,C,,4,16,quarter,False,False,False,False
P1,1,Eb,E,-1,4,16,quarter,False,False,False,False
P1,1,B,B,,3,8,eighth,False,False,False,False
P1,1,C,C,,4,8,eighth,False,False,False,False
P1,1,C,C,,2,16,quarter,False,False,False,False
P1,1,C,C,,3,16,quarter,False,False,False,False
P1,1,Eb,E,-1,2,16,quarter,False,False,False,False
P1,1,Eb,E,-1,3,16,quarter,False,False,False,False
P1,1,B,B,,1,8,eighth,False,False,False,False
P1,1,B,B,,2,8,eighth,False,False,False,False
P1,1,C,C,,2,8,eighth,False,False,False,False
P1,1,C,C,,3,8,eighth,False,False,False,False
P1,2,,,,,48,whole,False,True,False,False
P1,2,,,,,16,quarter,False,True,False,False
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Ab,A,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,1,64th,False,False,False,True
P1,2,Bb,B,-1,3,16,quarter,False,False,False,False
P1,2,Ab,A,-1,3,32,half,False,False,False,False
P1,2,Bb,B,-1,1,16,quarter,False,False,False,False
P1,2,Bb,B,-1,2,16,quarter,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
P1,2,Ab,A,-1,2,1,64th,False,False,False,False
P1,2,Ab,A,-1,1,1,64th,False,False,False,False
