part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,,,,,960,whole,False,True,False,False
P1,1,G,G,,3,720,quarter,True,False,False,False
P1,1,E,E,,4,720,quarter,True,False,False,False
P1,1,F,F,,3,240,eighth,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,,,,,960,whole,False,True,False,False
P1,1,C,C,,2,240,eighth,False,False,False,False
P1,1,C,C,,3,240,eighth,False,False,False,False
P1,1,E,E,,2,240,eighth,False,False,False,False
P1,1,G,G,,2,240,eighth,False,False,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,2,E,E,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,G,G,,3,240,eighth,False,False,False,False
P1,2,C,C,,4,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,2,C,C,,2,720,quarter,True,False,False,False
P1,2,C,C,,3,720,quarter,True,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,G,G,,3,720,quarter,True,False,False,False
P1,3,E,E,,4,720,quarter,True,False,False,False
P1,3,G,G,,4,720,quarter,True,False,False,False
P1,3,D,D,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,720,quarter,True,True,False,False
P1,3,B,B,,3,240,eighth,False,False,False,False
P1,3,,,,,960,whole,False,True,False,False
P1,3,C,C,,2,240,eighth,False,False,False,False
P1,3,C,C,,3,240,eighth,False,False,False,False
P1,3,E,E,,2,240,eighth,False,False,False,False
P1,3,G,G,,2,240,eighth,False,False,False,False
P1,3,G#,G,1,2,240,eighth,False,False,False,False
P1,4,D,D,,4,480,quarter,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,C,C,,4,480,quarter,False,False,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,B,B,,3,480,quarter,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,G,G,,3,240,eighth,False,False,False,False
P1,4,,,,,960,whole,False,True,False,False
P1,4,A,A,,2,240,eighth,False,False,False,False
P1,4,C,C,,3,240,eighth,False,False,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,E,E,,2,240,eighth,False,False,False,False
P1,5,D,D,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,360,eighth,True,False,False,False
P1,5,D,D,,4,120,16th,False,False,False,False
P1,5,A,A,,3,960,half,False,False,False,False
P1,5,C,C,,4,960,half,False,False,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,5,F,F,,2,240,eighth,False,False,False,False
P1,5,F,F,,3,240,eighth,False,False,False,False
P1,5,F#,F,1,3,240,eighth,False,False,False,False
P1,5,F#,F,1,2,240,eighth,False,False,False,False
P1,6,D,D,,4,420,eighth,True,False,False,False
P1,6,D#,D,1,4,60,32nd,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,B,B,,3,480,quarter,False,False,False,False
P1,6,B,B,,3,480,quarter,False,False,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,6,G,G,,2,240,eighth,False,False,False,False
P1,6,G,G,,3,240,eighth,False,False,False,False
P1,6,G#,G,1,3,240,eighth,False,False,False,False
P1,6,G#,G,1,2,240,eighth,False,False,False,False
