part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,720,quarter,True,False,False,False
P1,1,F#,F,1,4,120,16th,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,D#,D,1,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,,,,,1920,whole,False,True,False,False
P1,1,B,B,,3,1920,whole,False,False,False,False
P1,1,E,E,,3,960,half,False,False,False,False
P1,1,G#,G,1,3,960,half,False,False,False,False
P1,1,F#,F,1,3,480,quarter,False,False,False,False
P1,1,A,A,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,G#,G,1,3,480,quarter,False,False,False,False
P1,2,,,,,1920,whole,False,True,False,False
P1,2,F#,F,1,4,480,quarter,False,False,False,False
P1,2,F#,F,1,4,120,16th,False,False,False,False
P1,2,E,E,,4,120,16th,False,False,False,False
P1,2,D#,D,1,4,120,16th,False,False,False,False
P1,2,C#,C,1,4,120,16th,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,B,B,,4,240,eighth,False,False,False,False
P1,2,B,B,,3,1440,half,True,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,B,B,,2,1440,half,True,False,False,False
P1,2,F#,F,1,3,1440,half,True,False,False,False
P1,2,A,A,,3,1440,half,True,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,B,B,,4,1920,whole,False,False,False,False
P1,3,F#,F,1,4,720,quarter,True,False,False,False
P1,3,G#,G,1,4,120,16th,False,False,False,False
P1,3,F#,F,1,4,120,16th,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,F##,F,2,4,480,quarter,False,False,False,False
P1,3,B,B,,3,1920,whole,False,False,False,False
P1,3,A,A,,3,960,half,False,False,False,False
P1,3,G#,G,1,3,480,quarter,False,False,False,False
P1,3,D#,D,1,3,480,quarter,False,False,False,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,F#,F,1,4,120,16th,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,G#,G,1,4,480,quarter,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,,,,,120,16th,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,B,B,,3,840,quarter,True,False,False,False
P1,4,A,A,,3,120,16th,False,False,False,False
P1,4,G#,G,1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,1440,half,True,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,5,D#,D,1,5,120,16th,False,False,False,False
P1,5,C#,C,1,5,120,16th,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,A#,A,1,4,120,16th,False,False,False,False
P1,5,G,G,,5,480,quarter,False,False,False,False
P1,5,A#,A,1,4,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,1920,whole,False,True,False,False
P1,5,C#,C,1,4,480,quarter,False,False,False,False
P1,5,D#,D,1,4,480,quarter,False,False,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,F#,F,1,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,F#,F,1,3,1440,half,True,False,False,False
P1,5,,,,,480,quarter,False,True,False,False
P1,6,A,A,,5,480,quarter,False,False,False,False
P1,6,G#,G,1,5,120,16th,False,False,False,False
P1,6,F#,F,1,5,120,16th,False,False,False,False
P1,6,E,E,,5,120,16th,False,False,False,False
P1,6,D#,D,1,5,120,16th,False,False,False,False
P1,6,C#,C,1,6,480,quarter,False,False,False,False
P1,6,B,B,,5,120,16th,False,False,False,False
P1,6,A,A,,5,120,16th,False,False,False,False
P1,6,G#,G,1,5,120,16th,False,False,False,False
P1,6,F#,F,1,5,120,16th,False,False,False,False
P1,6,,,,,1920,whole,False,True,False,False
P1,6,F#,F,1,4,480,quarter,False,False,False,False
P1,6,G#,G,1,4,480,quarter,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,D#,D,1,4,480,quarter,False,False,False,False
P1,6,B,B,,3,1440,half,True,False,False,False
P1,6,D#,D,1,4,1440,half,True,False,False,False
P1,6,A,A,,3,480,quarter,False,False,False,False
P1,6,B,B,,3,480,quarter,False,False,False,False
P1,7,F##,F,2,5,160,eighth,False,False,False,False
P1,7,G#,G,1,5,160,eighth,False,False,False,False
P1,7,B,B,,5,160,eighth,False,False,False,False
P1,7,D#,D,1,5,160,eighth,False,False,False,False
P1,7,E,E,,5,160,eighth,False,False,False,False
P1,7,G#,G,1,5,160,eighth,False,False,False,False
P1,7,A#,A,1,4,160,eighth,False,False,False,False
P1,7,B,B,,4,160,eighth,False,False,False,False
P1,7,E,E,,5,160,eighth,False,False,False,False
P1,7,F##,F,2,4,160,eighth,False,False,False,False
P1,7,G#,G,1,4,160,eighth,False,False,False,False
P1,7,B,B,,4,160,eighth,False,False,False,False
P1,7,,,,,1920,whole,False,True,False,False
P1,7,E,E,,4,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,7,G#,G,1,3,480,quarter,False,False,False,False
P1,7,B,B,,3,480,quarter,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,,,,,960,half,False,True,False,False
P1,8,E,E,,4,1440,half,True,False,False,False
P1,8,F#,F,1,4,360,eighth,True,False,False,False
P1,8,G#,G,1,4,120,16th,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,G,G,,3,480,quarter,False,False,False,False
P1,8,G#,G,1,3,480,quarter,False,False,False,False
P1,8,D#,D,1,4,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,A#,A,1,3,480,quarter,False,False,False,False
P1,8,B,B,,3,480,quarter,False,False,False,False
P1,8,A,A,,3,480,quarter,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,C,C,,3,480,quarter,False,False,False,False
P1,8,B,B,,2,960,half,False,False,False,False
P1,9,E,E,,5,960,half,False,False,False,False
P1,9,D#,D,1,5,480,quarter,False,False,False,False
P1,9,E,E,,5,480,quarter,False,False,False,False
P1,9,E,E,,4,960,half,False,False,False,False
P1,9,D#,D,1,4,480,quarter,False,False,False,False
P1,9,E,E,,4,480,quarter,False,False,False,False
P1,9,G#,G,1,3,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,A,A,,3,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,G#,G,1,3,240,eighth,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
