part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,C,C,,5,80,16th,False,False,False,False
P1,1,G,G,,4,80,16th,False,False,False,False
P1,1,E,E,,4,80,16th,False,False,False,False
P1,1,C,C,,4,720,quarter,True,False,False,False
P1,1,C,C,,3,720,quarter,True,False,False,False
P1,1,G,G,,3,720,quarter,True,False,False,False
P1,1,,,,,720,whole,False,True,False,False
P1,2,D,D,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,80,16th,False,False,False,False
P1,2,F,F,,4,80,16th,False,False,False,False
P1,2,D,D,,4,80,16th,False,False,False,False
P1,2,B,B,,3,720,quarter,True,False,False,False
P1,2,G,G,,2,720,quarter,True,False,False,False
P1,2,F,F,,3,720,quarter,True,False,False,False
P1,2,,,,,720,whole,False,True,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,D,D,,4,120,16th,False,False,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,3,A,A,,3,240,eighth,False,False,False,False
P1,3,A,A,,2,480,quarter,False,False,False,False
P1,3,E,E,,3,480,quarter,False,False,False,False
P1,3,A,A,,2,120,16th,False,False,False,False
P1,3,D,D,,3,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,F,F,,2,120,16th,False,False,False,False
P1,3,F#,F,1,2,120,16th,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,B,B,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,3,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,D,D,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,2,480,quarter,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,D,D,,5,80,16th,False,False,False,False
P1,5,A,A,,4,80,16th,False,False,False,False
P1,5,F,F,,4,80,16th,False,False,False,False
P1,5,D,D,,4,720,quarter,True,False,False,False
P1,5,D,D,,3,720,quarter,True,False,False,False
P1,5,A,A,,3,720,quarter,True,False,False,False
P1,5,,,,,720,whole,False,True,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,A,A,,4,80,16th,False,False,False,False
P1,6,G,G,,4,80,16th,False,False,False,False
P1,6,E,E,,4,80,16th,False,False,False,False
P1,6,C#,C,1,4,720,quarter,True,False,False,False
P1,6,A,A,,2,720,quarter,True,False,False,False
P1,6,G,G,,3,720,quarter,True,False,False,False
P1,6,,,,,720,whole,False,True,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,E,E,,4,240,eighth,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,B,B,,3,240,eighth,False,False,False,False
P1,7,Bb,B,-1,2,480,quarter,False,False,False,False
P1,7,F,F,,3,480,quarter,False,False,False,False
P1,7,G#,G,1,2,240,eighth,False,False,False,False
P1,7,E,E,,3,240,eighth,False,False,False,False
P1,7,,,,,720,whole,False,True,False,False
P1,8,D,D,,4,240,eighth,False,False,False,False
P1,8,C#,C,1,4,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,A,A,,3,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,F,F,,3,240,eighth,False,False,False,False
P1,8,E,E,,3,240,eighth,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,A,A,,2,480,quarter,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,C,C,,5,80,16th,False,False,False,False
P1,9,B,B,,4,80,16th,False,False,False,False
P1,9,A,A,,4,80,16th,False,False,False,False
P1,9,F,F,,4,720,quarter,True,False,False,False
P1,9,F,F,,3,720,quarter,True,False,False,False
P1,9,C,C,,4,720,quarter,True,False,False,False
P1,9,,,,,720,whole,False,True,False,False
P1,10,G,G,,4,360,eighth,True,False,False,False
P1,10,E,E,,5,60,32nd,False,False,False,False
P1,10,D,D,,5,60,32nd,False,False,False,False
P1,10,C,C,,5,60,32nd,False,False,False,False
P1,10,B,B,,4,60,32nd,False,False,False,False
P1,10,A,A,,4,60,32nd,False,False,False,False
P1,10,G,G,,4,60,32nd,False,False,False,False
P1,10,E,E,,4,720,quarter,True,False,False,False
P1,10,C,C,,3,720,quarter,True,False,False,False
P1,10,C,C,,4,720,quarter,True,False,False,False
P1,10,,,,,720,whole,False,True,False,False
P1,11,G,G,,4,120,16th,False,False,False,False
P1,11,F#,F,1,4,120,16th,False,False,False,False
P1,11,F,F,,4,240,eighth,False,False,False,False
P1,11,E,E,,4,80,16th,False,False,False,False
P1,11,F,F,,4,80,16th,False,False,False,False
P1,11,G,G,,4,80,16th,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,C,C,,4,240,eighth,False,False,False,False
P1,11,B,B,,2,480,quarter,False,False,False,False
P1,11,G,G,,3,480,quarter,False,False,False,False
P1,11,C,C,,3,240,eighth,False,False,False,False
P1,11,G,G,,3,240,eighth,False,False,False,False
P1,11,,,,,720,whole,False,True,False,False
P1,12,D,D,,4,480,quarter,False,False,False,False
P1,12,D#,D,1,4,240,eighth,False,False,False,False
P1,12,B,B,,3,480,quarter,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,G,G,,2,480,quarter,False,False,False,False
P1,12,G,G,,3,480,quarter,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,720,whole,False,True,False,False
P1,13,E,E,,4,480,quarter,False,False,False,False
P1,13,C,C,,5,80,16th,False,False,False,False
P1,13,G,G,,4,80,16th,False,False,False,False
P1,13,E,E,,4,80,16th,False,False,False,False
P1,13,C,C,,4,480,quarter,False,False,False,False
P1,13,,,,,240,eighth,False,True,False,False
P1,13,C,C,,3,480,quarter,False,False,False,False
P1,13,G,G,,3,480,quarter,False,False,False,False
P1,13,E,E,,3,180,16th,True,False,False,False
P1,13,G,G,,3,60,32nd,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,240,eighth,False,True,False,False
