part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,96,16th,False,False,False,False
P1,1,B,B,,3,96,16th,False,False,False,False
P1,1,G#,G,1,3,96,16th,False,False,False,False
P1,1,B,B,,3,96,16th,False,False,False,False
P1,1,E,E,,4,96,16th,False,False,False,False
P1,1,G#,G,1,4,240,eighth,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,96,16th,False,False,False,False
P1,1,B,B,,2,96,16th,False,False,False,False
P1,1,G#,G,1,2,96,16th,False,False,False,False
P1,1,B,B,,2,96,16th,False,False,False,False
P1,1,E,E,,3,96,16th,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D#,D,1,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,F#,F,1,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,G#,G,1,4,240,eighth,False,False,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,2,C#,C,1,4,480,quarter,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,2,C#,C,1,3,240,eighth,False,False,False,False
P1,2,D#,D,1,3,240,eighth,False,False,False,False
P1,2,E#,E,1,3,240,eighth,False,False,False,False
P1,2,F#,F,1,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,4,96,16th,False,False,False,False
P1,3,E,E,,4,96,16th,False,False,False,False
P1,3,C#,C,1,4,96,16th,False,False,False,False
P1,3,E,E,,4,96,16th,False,False,False,False
P1,3,A,A,,4,96,16th,False,False,False,False
P1,3,C#,C,1,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,3,A,A,,3,96,16th,False,False,False,False
P1,3,E,E,,3,96,16th,False,False,False,False
P1,3,C#,C,1,3,96,16th,False,False,False,False
P1,3,E,E,,3,96,16th,False,False,False,False
P1,3,A,A,,3,96,16th,False,False,False,False
P1,3,C#,C,1,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,G#,G,1,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,A,A,,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,A#,A,1,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,B,B,,4,240,eighth,False,False,False,False
P1,4,D#,D,1,4,480,quarter,False,False,False,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,F#,F,1,3,240,eighth,False,False,False,False
P1,4,F##,F,2,3,240,eighth,False,False,False,False
P1,4,G#,G,1,2,240,eighth,False,False,False,False
P1,4,G#,G,1,3,240,eighth,False,False,False,False
P1,4,B,B,,2,480,quarter,False,False,False,False
P1,4,F#,F,1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,B,B,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,B,B,,4,96,16th,False,False,False,False
P1,5,E,E,,3,480,quarter,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,G#,G,1,2,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,A,A,,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,A#,A,1,5,240,eighth,False,False,False,False
P1,6,E#,E,1,5,240,eighth,False,False,False,False
P1,6,B,B,,5,240,eighth,False,False,False,False
P1,6,E,E,,4,240,eighth,False,False,False,False
P1,6,G#,G,1,4,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,4,240,eighth,False,False,False,False
P1,6,F#,F,1,4,240,eighth,False,False,False,False
P1,6,F##,F,2,4,240,eighth,False,False,False,False
P1,6,C#,C,1,4,240,eighth,False,False,False,False
P1,6,G#,G,1,4,240,eighth,False,False,False,False
P1,7,F#,F,1,4,480,quarter,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
