part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,D,D,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,,,,,960,half,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,,,,,120,16th,False,True,False,False
P1,1,A,A,,3,480,quarter,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,A,A,,3,240,eighth,False,False,False,False
P1,2,B,B,,3,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,A,A,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,960,half,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,,,,,120,16th,False,True,False,False
P1,2,G#,G,1,3,480,quarter,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,G#,G,1,3,240,eighth,False,False,False,False
P1,3,C,C,,4,480,quarter,False,False,False,False
P1,3,E,E,,4,480,quarter,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,,,,,960,half,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,,,,,120,16th,False,True,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,3,F,F,,3,480,quarter,False,False,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,4,B,B,,3,960,half,False,False,False,False
P1,4,D,D,,4,960,half,False,False,False,False
P1,4,,,,,960,half,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,G,G,,3,960,half,False,False,False,False
P1,5,B,B,,3,480,quarter,False,False,False,False
P1,5,G,G,,4,480,quarter,False,False,False,False
P1,5,C,C,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,D,D,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,,,,,960,half,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,,,,,120,16th,False,True,False,False
P1,5,G,G,,3,480,quarter,False,False,False,False
P1,5,A,A,,3,240,eighth,False,False,False,False
P1,5,B,B,,3,240,eighth,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,,,,,960,half,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,6,A,A,,3,480,quarter,False,False,False,False
P1,6,C,C,,4,480,quarter,False,False,False,False
P1,7,A,A,,4,480,quarter,False,False,False,False
P1,7,G#,G,1,4,360,eighth,True,False,False,False
P1,7,F#,F,1,4,60,32nd,False,False,False,False
P1,7,G#,G,1,4,60,32nd,False,False,False,False
P1,7,E,E,,4,960,half,False,False,False,False
P1,7,,,,,480,quarter,False,True,False,False
P1,7,G#,G,1,4,120,16th,False,False,False,True
P1,7,A,A,,4,60,32nd,False,False,False,True
P1,7,G#,G,1,4,60,32nd,False,False,False,True
P1,7,A,A,,4,60,32nd,False,False,False,True
P1,7,G#,G,1,4,60,32nd,False,False,False,True
P1,7,F#,F,1,4,60,32nd,False,False,False,True
P1,7,G#,G,1,4,60,32nd,False,False,False,True
P1,7,E,E,,3,960,half,False,False,False,False
P1,7,B,B,,3,960,half,False,False,False,False
P1,8,A,A,,4,960,half,False,False,False,False
P1,8,E,E,,4,960,half,False,False,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,,,,,240,eighth,False,True,False,False
P1,8,A,A,,2,960,half,False,False,False,False
P1,8,E,E,,3,960,half,False,False,False,False
P1,8,A,A,,3,960,half,False,False,False,False
P1,9,E,E,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,9,D,D,,4,240,eighth,False,False,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,E,E,,4,240,eighth,False,False,False,False
P1,9,A,A,,4,240,eighth,False,False,False,False
P1,9,A,A,,3,480,quarter,False,False,False,False
P1,9,C#,C,1,4,480,quarter,False,False,False,False
P1,9,B,B,,3,240,eighth,False,False,False,False
P1,9,C#,C,1,4,240,eighth,False,False,False,False
P1,10,F,F,,4,480,quarter,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,E,E,,4,480,quarter,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,D,D,,4,480,quarter,False,False,False,False
P1,10,C,C,,4,480,quarter,False,False,False,False
P1,11,D#,D,1,4,480,quarter,False,False,False,False
P1,11,B,B,,4,480,quarter,False,False,False,False
P1,11,E,E,,4,240,eighth,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,F#,F,1,4,240,eighth,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,B,B,,3,480,quarter,False,False,False,False
P1,11,C#,C,1,4,240,eighth,False,False,False,False
P1,11,D#,D,1,4,240,eighth,False,False,False,False
P1,12,G#,G,1,4,480,quarter,False,False,False,False
P1,12,B,B,,4,480,quarter,False,False,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,F,F,,4,240,eighth,False,False,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,E,E,,4,480,quarter,False,False,False,False
P1,12,E,E,,4,240,eighth,False,False,False,False
P1,12,D,D,,4,240,eighth,False,False,False,False
P1,13,E,E,,4,480,quarter,False,False,False,False
P1,13,G,G,,4,480,quarter,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,A,A,,4,240,eighth,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,C,C,,4,480,quarter,False,False,False,False
P1,13,A,A,,3,240,eighth,False,False,False,False
P1,13,E,E,,4,240,eighth,False,False,False,False
P1,13,G,G,,3,240,eighth,False,False,False,False
P1,13,E,E,,4,240,eighth,False,False,False,False
P1,14,A,A,,4,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,D#,D,1,5,240,eighth,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,D#,D,1,5,240,eighth,False,False,False,False
P1,14,F#,F,1,3,480,quarter,False,False,False,False
P1,14,D,D,,4,480,quarter,False,False,False,False
P1,14,F#,F,1,3,240,eighth,False,False,False,False
P1,14,C,C,,4,240,eighth,False,False,False,False
P1,14,F,F,,3,240,eighth,False,False,False,False
P1,14,C,C,,4,240,eighth,False,False,False,False
P1,15,E,E,,4,480,quarter,False,False,False,False
P1,15,A,A,,4,480,quarter,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,15,E,E,,5,480,quarter,False,False,False,False
P1,15,E,E,,4,480,quarter,False,False,False,False
P1,15,G#,G,1,4,480,quarter,False,False,False,False
P1,15,B,B,,4,480,quarter,False,False,False,False
P1,15,E,E,,5,480,quarter,False,False,False,False
P1,15,E,E,,3,480,quarter,False,False,False,False
P1,15,A,A,,3,480,quarter,False,False,False,False
P1,15,C,C,,4,480,quarter,False,False,False,False
P1,15,E,E,,3,480,quarter,False,False,False,False
P1,15,G#,G,1,3,480,quarter,False,False,False,False
P1,15,B,B,,3,480,quarter,False,False,False,False
P1,16,E,E,,4,960,half,False,False,False,False
P1,16,A,A,,4,960,half,False,False,False,False
P1,16,C,C,,5,960,half,False,False,False,False
P1,16,E,E,,5,960,half,False,False,False,False
P1,16,A,A,,2,960,half,False,False,False,False
P1,16,E,E,,3,960,half,False,False,False,False
P1,16,A,A,,3,960,half,False,False,False,False
P1,17,E,E,,3,480,quarter,False,False,False,False
P1,17,A,A,,3,480,quarter,False,False,False,False
P1,17,C,C,,4,480,quarter,False,False,False,False
P1,17,E,E,,4,480,quarter,False,False,False,False
P1,17,E,E,,3,240,eighth,False,False,False,False
P1,17,G#,G,1,3,240,eighth,False,False,False,False
P1,17,B,B,,3,240,eighth,False,False,False,False
P1,17,E,E,,4,240,eighth,False,False,False,False
P1,17,E,E,,3,240,eighth,False,False,False,False
P1,17,A,A,,3,240,eighth,False,False,False,False
P1,17,C,C,,4,240,eighth,False,False,False,False
P1,17,E,E,,4,240,eighth,False,False,False,False
P1,17,,,,,960,whole,False,True,False,False
P1,17,A,A,,2,240,eighth,False,False,False,False
P1,17,B,B,,2,120,16th,False,False,False,False
P1,17,C,C,,3,120,16th,False,False,False,False
P1,17,D,D,,3,240,eighth,False,False,False,False
P1,17,C,C,,3,240,eighth,False,False,False,False
P1,18,E,E,,3,480,quarter,False,False,False,False
P1,18,G#,G,1,3,480,quarter,False,False,False,False
P1,18,D,D,,4,480,quarter,False,False,False,False
P1,18,E,E,,4,480,quarter,False,False,False,False
P1,18,E,E,,3,240,eighth,False,False,False,False
P1,18,A,A,,3,240,eighth,False,False,False,False
P1,18,D,D,,4,240,eighth,False,False,False,False
P1,18,E,E,,4,240,eighth,False,False,False,False
P1,18,E,E,,3,240,eighth,False,False,False,False
P1,18,B,B,,3,240,eighth,False,False,False,False
P1,18,D,D,,4,240,eighth,False,False,False,False
P1,18,E,E,,4,240,eighth,False,False,False,False
P1,18,,,,,960,whole,False,True,False,False
P1,18,B,B,,2,240,eighth,False,False,False,False
P1,18,E,E,,2,240,eighth,False,False,False,False
P1,18,F#,F,1,2,240,eighth,False,False,False,False
P1,18,G#,G,1,2,240,eighth,False,False,False,False
P1,19,E,E,,3,480,quarter,False,False,False,False
P1,19,A,A,,3,480,quarter,False,False,False,False
P1,19,C,C,,4,480,quarter,False,False,False,False
P1,19,E,E,,4,480,quarter,False,False,False,False
P1,19,F,F,,3,480,quarter,False,False,False,False
P1,19,A,A,,3,480,quarter,False,False,False,False
P1,19,D,D,,4,480,quarter,False,False,False,False
P1,19,F,F,,4,480,quarter,False,False,False,False
P1,19,,,,,960,whole,False,True,False,False
P1,19,A,A,,2,240,eighth,False,False,False,False
P1,19,B,B,,2,120,16th,False,False,False,False
P1,19,C,C,,3,120,16th,False,False,False,False
P1,19,D,D,,2,240,eighth,False,False,False,False
P1,19,E,E,,2,120,16th,False,False,False,False
P1,19,F,F,,2,120,16th,False,False,False,False
P1,20,D,D,,3,960,half,False,False,False,False
P1,20,G,G,,3,960,half,False,False,False,False
P1,20,B,B,,3,960,half,False,False,False,False
P1,20,D,D,,4,960,half,False,False,False,False
P1,20,,,,,960,whole,False,True,False,False
P1,20,G,G,,1,240,eighth,False,False,False,False
P1,20,B,B,,1,120,16th,False,False,False,False
P1,20,D,D,,2,120,16th,False,False,False,False
P1,20,G,G,,2,240,eighth,False,False,False,False
P1,20,A,A,,2,240,eighth,False,False,False,False
P1,21,G,G,,3,480,quarter,False,False,False,False
P1,21,F,F,,4,480,quarter,False,False,False,False
P1,21,G,G,,4,480,quarter,False,False,False,False
P1,21,G,G,,3,240,eighth,False,False,False,False
P1,21,C,C,,4,240,eighth,False,False,False,False
P1,21,F,F,,4,240,eighth,False,False,False,False
P1,21,G,G,,4,240,eighth,False,False,False,False
P1,21,G,G,,3,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,F,F,,4,240,eighth,False,False,False,False
P1,21,G,G,,4,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,C,C,,4,120,16th,False,False,False,False
P1,21,B,B,,3,120,16th,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
P1,21,B,B,,2,240,eighth,False,False,False,False
P1,21,A,A,,2,120,16th,False,False,False,False
P1,21,G,G,,2,120,16th,False,False,False,False
P1,21,A,A,,2,240,eighth,False,False,False,False
P1,21,B,B,,2,240,eighth,False,False,False,False
P1,22,G,G,,3,480,quarter,False,False,False,False
P1,22,E,E,,4,480,quarter,False,False,False,False
P1,22,G,G,,4,480,quarter,False,False,False,False
P1,22,E,E,,4,480,quarter,False,False,False,False
P1,22,A,A,,4,480,quarter,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,A,A,,3,240,eighth,False,False,False,False
P1,22,B,B,,3,120,16th,False,False,False,False
P1,22,C,C,,4,120,16th,False,False,False,False
P1,22,C,C,,3,240,eighth,False,False,False,False
P1,22,E,E,,3,120,16th,False,False,False,False
P1,22,D,D,,3,120,16th,False,False,False,False
P1,22,C,C,,3,240,eighth,False,False,False,False
P1,22,B,B,,2,120,16th,False,False,False,False
P1,22,A,A,,2,120,16th,False,False,False,False
P1,23,B,B,,3,480,quarter,False,False,False,False
P1,23,A,A,,4,480,quarter,False,False,False,False
P1,23,B,B,,3,240,eighth,False,False,False,False
P1,23,E,E,,4,240,eighth,False,False,False,False
P1,23,G#,G,1,4,240,eighth,False,False,False,False
P1,23,B,B,,3,240,eighth,False,False,False,False
P1,23,D,D,,4,240,eighth,False,False,False,False
P1,23,G#,G,1,4,240,eighth,False,False,False,False
P1,23,D,D,,4,240,eighth,False,False,False,False
P1,23,E,E,,4,120,16th,False,False,False,False
P1,23,F,F,,4,120,16th,False,False,False,False
P1,23,,,,,480,quarter,False,True,False,False
P1,23,F,F,,2,240,eighth,False,False,False,False
P1,23,E,E,,2,120,16th,False,False,False,False
P1,23,D,D,,2,120,16th,False,False,False,False
P1,23,E,E,,2,240,eighth,False,False,False,False
P1,23,E,E,,2,240,eighth,False,False,False,False
P1,24,A,A,,3,480,quarter,False,False,False,False
P1,24,C,C,,4,480,quarter,False,False,False,False
P1,24,A,A,,4,480,quarter,False,False,False,False
P1,24,,,,,480,quarter,False,True,False,False
P1,24,,,,,960,whole,False,True,False,False
P1,24,A,A,,2,240,eighth,False,False,False,False
P1,24,A,A,,1,120,16th,False,False,False,False
P1,24,C,C,,2,120,16th,False,False,False,False
P1,24,E,E,,2,240,eighth,False,False,False,False
P1,24,G#,G,1,2,240,eighth,False,False,False,False
P1,25,A,A,,3,480,quarter,False,False,False,False
P1,25,C#,C,1,4,480,quarter,False,False,False,False
P1,25,G,G,,4,480,quarter,False,False,False,False
P1,25,A,A,,4,480,quarter,False,False,False,False
P1,25,A,A,,3,240,eighth,False,False,False,False
P1,25,D,D,,4,240,eighth,False,False,False,False
P1,25,G,G,,4,240,eighth,False,False,False,False
P1,25,A,A,,4,240,eighth,False,False,False,False
P1,25,A,A,,3,240,eighth,False,False,False,False
P1,25,E,E,,4,240,eighth,False,False,False,False
P1,25,G,G,,4,240,eighth,False,False,False,False
P1,25,A,A,,4,240,eighth,False,False,False,False
P1,25,,,,,960,whole,False,True,False,False
P1,25,A,A,,2,240,eighth,False,False,False,False
P1,25,G#,G,1,2,120,16th,False,False,False,False
P1,25,A,A,,2,120,16th,False,False,False,False
P1,25,B,B,,2,240,eighth,False,False,False,False
P1,25,C#,C,1,3,240,eighth,False,False,False,False
P1,26,A,A,,3,480,quarter,False,False,False,False
P1,26,D,D,,4,480,quarter,False,False,False,False
P1,26,F,F,,4,480,quarter,False,False,False,False
P1,26,A,A,,4,480,quarter,False,False,False,False
P1,26,A,A,,3,240,eighth,False,False,False,False
P1,26,F,F,,4,240,eighth,False,False,False,False
P1,26,A,A,,4,240,eighth,False,False,False,False
P1,26,A#,A,1,3,240,eighth,False,False,False,False
P1,26,E,E,,4,240,eighth,False,False,False,False
P1,26,A#,A,1,4,240,eighth,False,False,False,False
P1,26,,,,,960,whole,False,True,False,False
P1,26,D,D,,3,240,eighth,False,False,False,False
P1,26,F,F,,3,120,16th,False,False,False,False
P1,26,E,E,,3,120,16th,False,False,False,False
P1,26,D,D,,3,240,eighth,False,False,False,False
P1,26,C,C,,3,240,eighth,False,False,False,False
P1,27,B,B,,3,480,quarter,False,False,False,False
P1,27,D#,D,1,4,480,quarter,False,False,False,False
P1,27,A,A,,4,480,quarter,False,False,False,False
P1,27,B,B,,4,480,quarter,False,False,False,False
P1,27,B,B,,3,240,eighth,False,False,False,False
P1,27,E,E,,4,240,eighth,False,False,False,False
P1,27,A,A,,4,240,eighth,False,False,False,False
P1,27,B,B,,4,240,eighth,False,False,False,False
P1,27,B,B,,3,240,eighth,False,False,False,False
P1,27,F#,F,1,4,240,eighth,False,False,False,False
P1,27,A,A,,4,240,eighth,False,False,False,False
P1,27,B,B,,4,240,eighth,False,False,False,False
P1,27,,,,,960,whole,False,True,False,False
P1,27,B,B,,2,240,eighth,False,False,False,False
P1,27,A#,A,1,2,120,16th,False,False,False,False
P1,27,B,B,,2,120,16th,False,False,False,False
P1,27,C#,C,1,3,240,eighth,False,False,False,False
P1,27,D#,D,1,3,240,eighth,False,False,False,False
P1,28,B,B,,3,480,quarter,False,False,False,False
P1,28,E,E,,4,480,quarter,False,False,False,False
P1,28,G#,G,1,4,480,quarter,False,False,False,False
P1,28,B,B,,4,480,quarter,False,False,False,False
P1,28,B,B,,3,240,eighth,False,False,False,False
P1,28,E,E,,4,240,eighth,False,False,False,False
P1,28,G,G,,4,240,eighth,False,False,False,False
P1,28,B,B,,4,240,eighth,False,False,False,False
P1,28,B,B,,3,240,eighth,False,False,False,False
P1,28,F,F,,4,240,eighth,False,False,False,False
