part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C#,C,1,5,1440,half,True,False,False,False
P1,1,C#,C,1,4,960,half,False,False,False,False
P1,1,C#,C,1,5,480,quarter,False,False,False,False
P1,1,C#,C,1,2,240,eighth,False,False,False,False
P1,1,C#,C,1,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,A,A,,2,240,eighth,False,False,False,False
P1,1,A,A,,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,1,F##,F,2,2,240,eighth,False,False,False,False
P1,1,F##,F,2,3,240,eighth,False,False,False,False
P1,1,,,,,240,eighth,False,True,False,False
P1,2,D#,D,1,5,1440,half,True,False,False,False
P1,2,C#,C,1,5,480,quarter,False,False,False,False
P1,2,B#,B,1,4,960,half,False,False,False,False
P1,2,G#,G,1,2,240,eighth,False,False,False,False
P1,2,G#,G,1,3,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G#,G,1,1,240,eighth,False,False,False,False
P1,2,G#,G,1,2,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,F#,F,1,2,240,eighth,False,False,False,False
P1,2,F#,F,1,3,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,3,G#,G,1,5,1440,half,True,False,False,False
P1,3,C#,C,1,5,720,quarter,True,False,False,False
P1,3,D#,D,1,5,240,eighth,False,False,False,False
P1,3,E,E,,5,480,quarter,False,False,False,False
P1,3,E,E,,2,240,eighth,False,False,False,False
P1,3,E,E,,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,D#,D,1,2,240,eighth,False,False,False,False
P1,3,D#,D,1,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,3,C#,C,1,2,240,eighth,False,False,False,False
P1,3,C#,C,1,3,240,eighth,False,False,False,False
P1,3,,,,,240,eighth,False,True,False,False
P1,4,A,A,,5,960,half,False,False,False,False
P1,4,G#,G,1,5,480,quarter,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,D#,D,1,5,480,quarter,False,False,False,False
P1,4,F#,F,1,5,480,quarter,False,False,False,False
P1,4,E,E,,5,480,quarter,False,False,False,False
P1,4,F#,F,1,1,240,eighth,False,False,False,False
P1,4,F#,F,1,2,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,B,B,,1,240,eighth,False,False,False,False
P1,4,B,B,,2,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,4,E,E,,2,240,eighth,False,False,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,,,,,240,eighth,False,True,False,False
P1,5,F##,F,2,5,960,half,False,False,False,False
P1,5,G#,G,1,5,480,quarter,False,False,False,False
P1,5,A#,A,1,4,720,quarter,True,False,False,False
P1,5,B#,B,1,4,120,16th,False,False,False,False
P1,5,C#,C,1,5,120,16th,False,False,False,False
P1,5,D#,D,1,5,480,quarter,False,False,False,False
P1,5,D#,D,1,2,240,eighth,False,False,False,False
P1,5,D#,D,1,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
P1,5,C#,C,1,2,240,eighth,False,False,False,False
P1,5,C#,C,1,3,240,eighth,False,False,False,False
P1,5,,,,,240,eighth,False,True,False,False
