part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,Bb,B,-1,4,240,eighth,False,False,False,False
P1,0,,,,,240,eighth,False,True,False,False
P1,1,Bb,B,-1,4,720,quarter,True,False,False,False
P1,1,Bb,B,-1,4,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,240,eighth,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,G,G,,4,720,quarter,True,False,False,False
P1,1,Ab,A,-1,4,720,quarter,True,False,False,False
P1,2,Eb,E,-1,5,720,quarter,True,False,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,Bb,B,-1,4,240,eighth,False,False,False,False
P1,2,G,G,,4,720,quarter,True,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,,,,,240,eighth,False,True,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,3,G,G,,4,480,quarter,False,False,False,False
P1,3,Ab,A,-1,4,240,eighth,False,False,False,False
P1,3,Ab,A,-1,4,,32nd,False,False,True,False
P1,3,Bb,B,-1,4,,32nd,False,False,True,False
P1,3,C,C,,5,,32nd,False,False,True,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,Ab,A,-1,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,240,eighth,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,Eb,E,-1,4,480,quarter,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,,,,,720,quarter,True,True,False,False
P1,4,Eb,E,-1,4,720,quarter,True,False,False,False
P1,4,G,G,,4,720,quarter,True,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,Eb,E,-1,4,240,eighth,False,False,False,False
P1,4,G,G,,4,240,eighth,False,False,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,Ab,A,-1,4,240,eighth,False,False,False,False
P1,4,,,,,720,quarter,True,True,False,False
P1,4,,,,,720,quarter,True,True,False,False
P1,5,G,G,,4,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,720,quarter,True,False,False,False
P1,5,Bb,B,-1,4,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,D,D,,5,240,eighth,False,False,False,False
P1,5,,,,,720,quarter,True,True,False,False
P1,5,Eb,E,-1,4,480,quarter,False,False,False,False
P1,5,E,E,,4,240,eighth,False,False,False,False
P1,6,Bb,B,-1,4,720,quarter,True,False,False,False
P1,6,D,D,,5,720,quarter,True,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,F,F,,4,240,eighth,False,False,False,False
P1,6,A,A,,4,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,F,F,,4,720,quarter,True,False,False,False
P1,6,F,F,,4,240,eighth,False,False,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,7,F,F,,4,720,quarter,True,False,False,False
P1,7,Bb,B,-1,4,720,quarter,True,False,False,False
P1,7,D,D,,5,720,quarter,True,False,False,False
P1,7,Eb,E,-1,4,720,quarter,True,False,False,False
P1,7,Bb,B,-1,4,720,quarter,True,False,False,False
P1,7,Eb,E,-1,5,720,quarter,True,False,False,False
P1,7,,,,,720,quarter,True,True,False,False
P1,7,,,,,720,quarter,True,True,False,False
P1,8,F,F,,4,720,quarter,True,False,False,False
P1,8,Bb,B,-1,4,720,quarter,True,False,False,False
P1,8,D,D,,5,720,quarter,True,False,False,False
P1,8,Bb,B,-1,4,,16th,False,False,True,False
P1,8,D,D,,5,,16th,False,False,True,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,Bb,B,-1,4,240,eighth,False,False,False,False
P1,8,C,C,,5,240,eighth,False,False,False,False
P1,8,,,,,720,quarter,True,True,False,False
P1,8,Eb,E,-1,4,720,quarter,True,False,False,False
P1,8,A,A,,4,720,quarter,True,False,False,False
P1,9,Eb,E,-1,4,720,quarter,True,False,False,False
P1,9,A,A,,4,720,quarter,True,False,False,False
P1,9,C,C,,5,720,quarter,True,False,False,False
P1,9,Eb,E,-1,4,480,quarter,False,False,False,False
P1,9,Bb,B,-1,4,480,quarter,False,False,False,False
P1,9,,,,,720,quarter,True,True,False,False
P1,9,,,,,480,quarter,False,True,False,False
P1,10,Bb,B,-1,4,240,eighth,False,False,False,False
P1,10,,,,,240,eighth,False,True,False,False
P1,11,Bb,B,-1,4,720,quarter,True,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,Ab,A,-1,4,720,quarter,True,False,False,False
P1,11,Ab,A,-1,4,480,quarter,False,False,False,False
P1,11,Ab,A,-1,4,240,eighth,False,False,False,False
P1,12,Bb,B,-1,4,720,quarter,True,False,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,G,G,,4,240,eighth,False,False,False,False
P1,12,Eb,E,-1,5,240,eighth,False,False,False,False
P1,12,G,G,,4,720,quarter,True,False,False,False
P1,12,Eb,E,-1,4,240,eighth,False,False,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,13,F,F,,5,480,quarter,False,False,False,False
P1,13,D,D,,5,240,eighth,False,False,False,False
P1,13,F,F,,4,240,eighth,False,False,False,False
P1,13,Ab,A,-1,4,240,eighth,False,False,False,False
