part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,A,A,,4,480,quarter,False,False,False,False
P1,0,F,F,,4,480,quarter,False,False,False,False
P1,1,A,A,,4,720,quarter,True,False,False,False
P1,1,A,A,,4,240,eighth,False,False,False,False
P1,1,A,A,,4,480,quarter,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,F,F,,4,720,quarter,True,False,False,False
P1,1,F,F,,4,240,eighth,False,False,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,1,F,F,,4,480,quarter,False,False,False,False
P1,2,A,A,,4,960,half,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,G,G,,4,480,quarter,False,False,False,False
P1,2,F,F,,4,960,half,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,3,A,A,,4,720,quarter,True,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,480,quarter,False,False,False,False
P1,3,Bb,B,-1,4,240,eighth,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,E,E,,4,720,quarter,True,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,480,quarter,False,False,False,False
P1,3,G,G,,4,240,eighth,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,4,G,G,,4,960,half,False,False,False,False
P1,4,A,A,,4,480,quarter,False,False,False,False
P1,4,A,A,,4,480,quarter,False,False,False,False
P1,4,F,F,,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,4,F,F,,4,480,quarter,False,False,False,False
P1,5,A,A,,4,720,quarter,True,False,False,False
P1,5,A,A,,4,240,eighth,False,False,False,False
P1,5,A,A,,4,480,quarter,False,False,False,False
P1,5,C,C,,5,480,quarter,False,False,False,False
P1,5,F,F,,4,720,quarter,True,False,False,False
P1,5,F,F,,4,240,eighth,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,5,F,F,,4,480,quarter,False,False,False,False
P1,6,A,A,,4,960,half,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,G,G,,4,480,quarter,False,False,False,False
P1,6,F,F,,4,960,half,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,6,E,E,,4,480,quarter,False,False,False,False
P1,7,A,A,,4,720,quarter,True,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,F,F,,4,480,quarter,False,False,False,False
P1,7,Bb,B,-1,4,240,eighth,False,False,False,False
P1,7,A,A,,4,240,eighth,False,False,False,False
P1,7,E,E,,4,720,quarter,True,False,False,False
P1,7,E,E,,4,240,eighth,False,False,False,False
P1,7,D,D,,4,480,quarter,False,False,False,False
P1,7,G,G,,4,240,eighth,False,False,False,False
P1,7,F,F,,4,240,eighth,False,False,False,False
P1,8,G,G,,4,960,half,False,False,False,False
P1,8,A,A,,4,480,quarter,False,False,False,False
P1,8,C,C,,5,480,quarter,False,False,False,False
P1,8,F,F,,4,240,eighth,False,False,False,False
P1,8,E,E,,4,240,eighth,False,False,False,False
P1,8,D,D,,4,240,eighth,False,False,False,False
P1,8,E,E,,4,240,eighth,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,8,F,F,,4,480,quarter,False,False,False,False
P1,9,F,F,,5,720,quarter,True,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,C,C,,5,480,quarter,False,False,False,False
P1,9,F,F,,4,720,quarter,True,False,False,False
P1,9,F,F,,4,240,eighth,False,False,False,False
P1,9,F,F,,4,480,quarter,False,False,False,False
P1,9,A,A,,4,480,quarter,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,D,D,,5,480,quarter,False,False,False,False
P1,10,C,C,,5,480,quarter,False,False,False,False
P1,10,C,C,,5,240,eighth,False,False,False,False
P1,10,A,A,,4,240,eighth,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,Bb,B,-1,4,480,quarter,False,False,False,False
P1,10,A,A,,4,480,quarter,False,False,False,False
P1,10,F,F,,4,480,quarter,False,False,False,False
P1,11,F,F,,4,480,quarter,False,False,False,False
P1,11,F,F,,4,480,quarter,False,False,False,False
P1,11,F,F,,4,240,eighth,False,False,False,False
P1,11,D,D,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,Bb,B,-1,4,240,eighth,False,False,False,False
P1,11,F,F,,4,480,quarter,False,False,False,False
P1,11,Eb,E,-1,4,480,quarter,False,False,False,False
P1,11,D,D,,4,480,quarter,False,False,False,False
P1,11,G,G,,4,480,quarter,False,False,False,False
P1,12,A,A,,4,960,half,False,False,False,False
P1,12,G,G,,4,480,quarter,False,False,False,False
P1,12,C,C,,5,480,quarter,False,False,False,False
P1,12,F,F,,4,960,half,False,False,False,False
P1,12,E,E,,4,480,quarter,False,False,False,False
P1,12,F,F,,4,480,quarter,False,False,False,False
P1,13,F,F,,5,720,quarter,True,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,D,D,,5,480,quarter,False,False,False,False
P1,13,C,C,,5,480,quarter,False,False,False,False
P1,13,F,F,,4,720,quarter,True,False,False,False
P1,13,F,F,,4,240,eighth,False,False,False,False
P1,13,F,F,,4,480,quarter,False,False,False,False
P1,13,A,A,,4,480,quarter,False,False,False,False
P1,14,C,C,,5,480,quarter,False,False,False,False
P1,14,D,D,,5,480,quarter,False,False,False,False
P1,14,C,C,,5,480,quarter,False,False,False,False
P1,14,A,A,,4,240,eighth,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,14,A,A,,4,480,quarter,False,False,False,False
P1,14,Bb,B,-1,4,480,quarter,False,False,False,False
P1,14,A,A,,4,480,quarter,False,False,False,False
P1,14,F,F,,4,480,quarter,False,False,False,False
