part,instrument,measure,pitch,step,alter,octave,duration,type,dotted,rest
P1,Trumpet,1,F,F,,5,2,eighth,False,False
P1,Trumpet,1,C,C,,6,2,eighth,False,False
P1,Trumpet,1,C,C,,6,2,eighth,False,False
P1,Trumpet,1,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,1,C,C,,6,1,16th,False,False
P1,Trumpet,2,D,D,,6,2,eighth,False,False
P1,Trumpet,2,C,C,,6,1,16th,False,False
P1,Trumpet,2,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,2,C,C,,6,2,eighth,False,False
P1,Trumpet,2,F,F,,6,2,eighth,False,False
P1,Trumpet,3,C,C,,6,2,eighth,False,False
P1,Trumpet,3,A,A,,5,1,16th,False,False
P1,Trumpet,3,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,3,C,C,,6,2,eighth,False,False
P1,Trumpet,3,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,3,C,C,,6,1,16th,False,False
P1,Trumpet,4,D,D,,6,2,eighth,False,False
P1,Trumpet,4,C,C,,6,1,16th,False,False
P1,Trumpet,4,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,4,C,C,,6,1,16th,False,False
P1,Trumpet,4,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,4,A,A,,5,1,16th,False,False
P1,Trumpet,4,C,C,,6,1,16th,False,False
P1,Trumpet,5,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,5,A,A,,5,1,16th,False,False
P1,Trumpet,5,G,G,,5,1,16th,False,False
P1,Trumpet,5,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,5,A,A,,5,1,16th,False,False
P1,Trumpet,5,G,G,,5,1,16th,False,False
P1,Trumpet,5,F,F,,5,1,16th,False,False
P1,Trumpet,5,A,A,,5,1,16th,False,False
P1,Trumpet,6,G,G,,5,1,16th,False,False
P1,Trumpet,6,F,F,,5,1,16th,False,False
P1,Trumpet,6,G,G,,5,1,16th,False,False
P1,Trumpet,6,A,A,,5,1,16th,False,False
P1,Trumpet,6,Bb,B,-1,5,1,16th,False,False
P1,Trumpet,6,A,A,,5,1,16th,False,False
P1,Trumpet,6,G,G,,5,1,16th,False,False
P1,Trumpet,6,F,F,,5,1,16th,False,False
P1,Trumpet,7,G,G,,5,2,eighth,False,False
P1,Trumpet,7,C,C,,5,2,eighth,False,False
P1,Trumpet,7,C,C,,6,4,quarter,False,False
P1,Trumpet,8,C,C,,6,4,quarter,False,False
P1,Trumpet,8,C,C,,6,4,quarter,False,False
P1,Trumpet,9,C,C,,6,4,quarter,False,False
P1,Trumpet,9,C,C,,6,4,quarter,False,False
P1,Trumpet,10,C,C,,6,2,eighth,False,False
P1,Trumpet,10,D,D,,6,4,quarter,False,False
P1,Trumpet,10,C,C,,6,2,eighth,False,False
P1,Trumpet,11,C,C,,6,2,eighth,False,False
P1,Trumpet,11,B,B,,5,2,eighth,False,False
