,part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue,keyboard_step,interval
0,P1,1,C,C,,5,480,quarter,False,False,False,False,52.0,
1,P1,1,C,C,,5,480,quarter,False,False,False,False,52.0,0.0
2,P1,2,G,G,,5,480,quarter,False,False,False,False,59.0,7.0
3,P1,2,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
4,P1,3,A,A,,5,480,quarter,False,False,False,False,61.0,2.0
5,P1,3,A,A,,5,480,quarter,False,False,False,False,61.0,0.0
6,P1,4,G,G,,5,480,quarter,False,False,False,False,59.0,-2.0
7,P1,4,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
8,P1,5,F,F,,5,480,quarter,False,False,False,False,57.0,-2.0
9,P1,5,F,F,,5,480,quarter,False,False,False,False,57.0,0.0
10,P1,6,E,E,,5,480,quarter,False,False,False,False,56.0,-1.0
11,P1,6,E,E,,5,480,quarter,False,False,False,False,56.0,0.0
12,P1,7,D,D,,5,480,quarter,False,False,False,False,54.0,-2.0
13,P1,7,D,D,,5,360,eighth,True,False,False,False,54.0,0.0
14,P1,7,E,E,,5,120,16th,False,False,False,False,56.0,2.0
15,P1,8,C,C,,5,960,half,False,False,False,False,52.0,-4.0
16,P1,9,G,G,,5,480,quarter,False,False,False,False,59.0,7.0
17,P1,9,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
18,P1,10,F,F,,5,480,quarter,False,False,False,False,57.0,-2.0
19,P1,10,F,F,,5,480,quarter,False,False,False,False,57.0,0.0
20,P1,11,E,E,,5,480,quarter,False,False,False,False,56.0,-1.0
21,P1,11,E,E,,5,480,quarter,False,False,False,False,56.0,0.0
22,P1,12,D,D,,5,480,quarter,False,False,False,False,54.0,-2.0
23,P1,12,D,D,,5,480,quarter,False,False,False,False,54.0,0.0
24,P1,13,G,G,,5,480,quarter,False,False,False,False,59.0,5.0
25,P1,13,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
26,P1,14,F,F,,5,480,quarter,False,False,False,False,57.0,-2.0
27,P1,14,F,F,,5,480,quarter,False,False,False,False,57.0,0.0
28,P1,15,E,E,,5,480,quarter,False,False,False,False,56.0,-1.0
29,P1,15,E,E,,5,360,eighth,True,False,False,False,56.0,0.0
30,P1,15,F,F,,5,120,16th,False,False,False,False,57.0,1.0
31,P1,16,E,E,,5,480,quarter,False,False,False,False,56.0,-1.0
32,P1,16,D,D,,5,480,quarter,False,False,False,False,54.0,-2.0
33,P1,17,C,C,,5,480,quarter,False,False,False,False,52.0,-2.0
34,P1,17,C,C,,5,480,quarter,False,False,False,False,52.0,0.0
35,P1,18,G,G,,5,480,quarter,False,False,False,False,59.0,7.0
36,P1,18,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
37,P1,19,A,A,,5,480,quarter,False,False,False,False,61.0,2.0
38,P1,19,A,A,,5,480,quarter,False,False,False,False,61.0,0.0
39,P1,20,G,G,,5,480,quarter,False,False,False,False,59.0,-2.0
40,P1,20,G,G,,5,480,quarter,False,False,False,False,59.0,0.0
41,P1,21,F,F,,5,480,quarter,False,False,False,False,57.0,-2.0
42,P1,21,F,F,,5,480,quarter,False,False,False,False,57.0,0.0
43,P1,22,E,E,,5,480,quarter,False,False,False,False,56.0,-1.0
44,P1,22,E,E,,5,480,quarter,False,False,False,False,56.0,0.0
45,P1,23,D,D,,5,480,quarter,False,False,False,False,54.0,-2.0
46,P1,23,D,D,,5,360,eighth,True,False,False,False,54.0,0.0
47,P1,23,E,E,,5,120,16th,False,False,False,False,56.0,2.0
48,P1,24,C,C,,5,960,half,False,False,False,False,52.0,-4.0
49,P1,25,D,D,,5,120,16th,False,False,False,False,54.0,2.0
50,P1,25,C,C,,5,120,16th,False,False,False,False,52.0,-2.0
