part,measure,step,alter,octave,duration,type,dotted,rest
P1,1,F,,4,4,eighth,False,False
P1,2,A,,4,4,eighth,False,False
P1,2,C,,5,4,eighth,False,False
P1,2,A,,4,4,eighth,False,False
P1,2,F,,4,4,eighth,False,False
P1,2,A,,4,4,eighth,False,False
P1,2,C,,5,4,eighth,False,False
P1,2,F,,5,4,eighth,False,False
P1,2,C,,5,4,eighth,False,False
P1,3,A,,4,4,eighth,False,False
P1,3,C,,5,4,eighth,False,False
P1,3,A,,4,4,eighth,False,False
P1,3,F,,4,4,eighth,False,False
P1,3,A,,4,4,eighth,False,False
P1,3,C,,5,4,eighth,False,False
P1,3,F,,5,2,16th,False,False
P1,3,G,,5,2,16th,False,False
P1,3,A,,5,2,16th,False,False
P1,3,B,-1,5,2,16th,False,False
P1,4,C,,6,4,eighth,False,False
P1,4,C,,6,4,eighth,False,False
P1,4,C,,6,4,eighth,False,False
P1,4,C,,6,4,eighth,False,False
P1,4,C,,6,16,half,False,False
P1,5,C,,6,24,half,True,False
P1,5,,,,4,eighth,False,True
P1,5,F,,5,4,eighth,False,False
P1,6,F,,5,4,eighth,False,False
P1,6,C,,5,4,eighth,False,False
P1,6,C,,5,4,eighth,False,False
P1,6,A,,4,4,eighth,False,False
P1,6,A,,4,4,eighth,False,False
P1,6,F,,4,4,eighth,False,False
P1,6,F,,4,4,eighth,False,False
P1,6,F,,5,4,eighth,False,False
P1,7,F,,5,4,eighth,False,False
P1,7,C,,5,4,eighth,False,False
P1,7,C,,5,4,eighth,False,False
P1,7,A,,4,4,eighth,False,False
P1,7,A,,4,4,eighth,False,False
P1,7,F,,4,4,eighth,False,False
P1,7,F,,4,4,eighth,False,False
P1,7,C,,5,2,16th,False,False
P1,7,C,,5,2,16th,False,False
P1,8,C,,5,8,quarter,False,False
P1,8,,,,4,eighth,False,True
P1,8,C,,5,2,16th,False,False
P1,8,C,,5,2,16th,False,False
P1,8,C,,5,8,quarter,False,False
P1,8,,,,4,eighth,False,True
P1,8,C,,5,2,16th,False,False
P1,8,C,,5,2,16th,False,False
P1,9,C,,5,4,eighth,False,False
P1,9,F,,5,2,16th,False,False
P1,9,C,,5,2,16th,False,False
P1,9,A,,4,2,16th,False,False
P1,9,F,,4,2,16th,False,False
P1,9,C,,5,4,eighth,False,False
P1,9,A,,4,8,quarter,False,False
P1,9,,,,8,quarter,False,True
P1,10,,,,32,,False,True
P1,11,,,,16,half,False,True
P1,11,,,,8,quarter,False,True
P1,11,,,,4,eighth,False,True
P1,11,F,,4,4,eighth,False,False
P1,12,A,,4,4,eighth,False,False
P1,12,C,,5,4,eighth,False,False
P1,12,A,,4,4,eighth,False,False
P1,12,F,,4,4,eighth,False,False
P1,12,A,,4,4,eighth,False,False
P1,12,C,,5,4,eighth,False,False
P1,12,F,,5,4,eighth,False,False
P1,12,C,,5,4,eighth,False,False
P1,13,A,,4,4,eighth,False,False
P1,13,C,,5,4,eighth,False,False
P1,13,A,,4,4,eighth,False,False
P1,13,F,,4,4,eighth,False,False
P1,13,A,,4,4,eighth,False,False
P1,13,C,,5,4,eighth,False,False
P1,13,F,,5,8,quarter,False,False
P1,14,,,,32,,False,True
P1,15,,,,16,half,False,True
P1,15,,,,8,quarter,False,True
P1,15,,,,4,eighth,False,True
P1,15,C,,5,4,eighth,False,False
P1,16,C,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,16,E,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,16,C,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,16,E,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,16,C,,6,2,16th,False,False
P1,16,B,,5,2,16th,False,False
P1,16,C,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,16,E,,6,2,16th,False,False
P1,16,F,,6,2,16th,False,False
P1,16,E,,6,2,16th,False,False
P1,16,D,,6,2,16th,False,False
P1,17,C,,6,2,16th,False,False
P1,17,D,,6,2,16th,False,False
P1,17,E,,6,2,16th,False,False
P1,17,D,,6,2,16th,False,False
P1,17,C,,6,2,16th,False,False
P1,17,D,,6,2,16th,False,False
P1,17,E,,6,2,16th,False,False
P1,17,D,,6,2,16th,False,False
P1,17,C,,6,4,eighth,False,False
P1,17,C,,5,4,eighth,False,False
P1,17,,,,8,quarter,False,True
P1,18,,,,32,,False,True
P1,19,,,,16,half,False,True
P1,19,,,,8,quarter,False,True
P1,19,,,,4,eighth,False,True
P1,19,C,,5,4,eighth,False,False
P1,20,C,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,20,E,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,20,C,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,20,E,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,20,C,,6,2,16th,False,False
P1,20,B,,5,2,16th,False,False
P1,20,C,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,20,E,,6,2,16th,False,False
P1,20,F,,6,2,16th,False,False
P1,20,E,,6,2,16th,False,False
P1,20,D,,6,2,16th,False,False
P1,21,C,,6,2,16th,False,False
P1,21,D,,6,2,16th,False,False
P1,21,E,,6,2,16th,False,False
P1,21,D,,6,2,16th,False,False
P1,21,C,,6,2,16th,False,False
P1,21,D,,6,2,16th,False,False
P1,21,E,,6,2,16th,False,False
P1,21,D,,6,2,16th,False,False
P1,21,C,,6,4,eighth,False,False
P1,21,C,,5,4,eighth,False,False
P1,21,,,,4,eighth,False,True
P1,21,G,,5,4,eighth,False,False
P1,22,A,,5,2,16th,False,False
P1,22,B,,5,2,16th,False,False
P1,22,A,,5,2,16th,False,False
P1,22,B,,5,2,16th,False,False
P1,22,B,,5,6,eighth,True,False
P1,22,A,,5,1,32nd,False,False
P1,22,B,,5,1,32nd,False,False
P1,22,C,,6,2,16th,False,False
P1,22,B,,5,2,16th,False,False
P1,22,C,,6,2,16th,False,False
P1,22,D,,6,2,16th,False,False
P1,22,C,,6,2,16th,False,False
P1,22,B,,5,2,16th,False,False
P1,22,A,,5,2,16th,False,False
P1,22,G,,5,2,16th,False,False
P1,23,A,,5,2,16th,False,False
P1,23,G,,5,2,16th,False,False
P1,23,A,,5,2,16th,False,False
P1,23,C,,6,2,16th,False,False
P1,23,B,,5,2,16th,False,False
P1,23,A,,5,2,16th,False,False
P1,23,G,,5,2,16th,False,False
P1,23,F,,5,2,16th,False,False
P1,23,G,,5,4,eighth,False,False
P1,23,C,,5,4,eighth,False,False
P1,23,,,,4,eighth,False,True
P1,23,G,,5,2,16th,False,False
P1,23,G,,5,2,16th,False,False
P1,24,G,,5,8,quarter,False,False
P1,24,,,,4,eighth,False,True
P1,24,G,,5,2,16th,False,False
P1,24,G,,5,2,16th,False,False
P1,24,G,,5,8,quarter,False,False
P1,24,,,,4,eighth,False,True
P1,24,G,,5,2,16th,False,False
P1,24,G,,5,2,16th,False,False
P1,25,G,,5,8,quarter,False,False
P1,25,,,,4,eighth,False,True
